street_address,suburb,city,postcode,property_type2,bedrooms,bathrooms,garage_parks,offstreet_parks,Carparks,land_size,floor_size,year_built,last_rent_price,last_rent_date,days_on_market,agency,capital_value,land_value,improvement_value,valuation,land_use,development_zone,position,view,roof_construction,wall_construction,category,furnishings,furnishings_evidence,pets,garage,Latitude,Longitude
228 CRANFORD STREET,ST ALBANS,CHRISTCHURCH,8014,House,2,1,,2,2,718,,1930,320,10/02/2025,7,"Whittle Knight Real Estate Ltd, (Licensed: Reaa 2008)",760000,540000,220000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1930's-average,nill,,No,NO,-43.5032331,172.6335599
18 HAVELOCK STREET,PHILLIPSTOWN,CHRISTCHURCH,8011,Unit,1,1,1,,1,506,,1915,325,9/02/2025,7,-,475000,335000,140000,1/08/2022,Multi-unit,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Converted Flat-pre 1914-average,partial,washing machine,,YES,-43.5338798,172.6708942
40 GUILD STREET,RICHMOND,CHRISTCHURCH,8013,,1,1,6,,6,75,51,2021,330,28/02/2025,7,Shelleys Property Management,410000,220298.5075,189701.4925,1/08/2022,Multi-unit,Residential Suburban Density Transition,Inside,No appreciable view,Malthoid/Fab,Malthoid/Fab,Residential-Multiple Dwellings-Mixed Age-average,nill,,,YES,-43.5127678,172.6546786
2/16 Southampton Street,Sydenham,Christchurch City,8023,unit,1,1,,1,1,77,56,1960,330,27/08/2025,28,Real Property Management Ltd,800000,417529.8805,382470.1195,1/08/2022,Multi-unit,,Inside,No appreciable view,Tile Profile,Concrete,Residential-Purpose built flat-1960's-average,,,,No,-43.5523871,172.6378416
5/38 Guild Street,Richmond,Christchurch City,8013,unit,1,1,1,,1,77,56,2019,330,23/09/2025,1,Shelleys Property Management,630000,326666.6667,303333.3333,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Corner,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-2010/2019-average,,,,No,-43.5127633,172.6540995
290 Queen Elizabeth II Drive,Mairehau,Christchurch City,8052,house,1,1,1,1,1,102,78.93975904,2000,330,11/05/2025,136,myRent.co.nz Ltd,636825.3968,333328.0293,303497.3676,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Vacant Block Land,Fully Furnished,,,Yes,-43.4889093,172.6476462
76 TANCRED STREET,LINWOOD,CHRISTCHURCH,8011,,1,1,,2,2,1012,,1915,330,5/03/2025,49,-,765000,755000,10000,1/08/2022,Multi-unit,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Vacant Flat Land,partial,fridge,,NO,-43.5289731,172.6647625
2/59 WAIMEA TERRACE,BECKENHAM,CHRISTCHURCH,8023,Unit,1,1,2,,2,749,,1920,330,11/06/2025,2,"Holmwood Property Management - Sherborne, (Licensed: Reaa 2008)",720000,520000,200000,1/08/2022,Multi-unit,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Converted Flat-pre 1914-average,nill,,,YES,-43.5616778,172.6405791
3/16 SOUTHAMPTON STREET,SYDENHAM,CHRISTCHURCH,8023,,1,1,1,,1,557,60,1960,330,27/08/2025,15,Real Property Management Ltd,800000,500000,300000,1/08/2022,Multi-unit,Residential Zone D,Inside,No appreciable view,Tile Profile,Concrete,Residential-Purpose built flat-1960's-average,nill,,,YES,-43.5523871,172.6378416
594 BARBADOES STREET,EDGEWARE,CHRISTCHURCH,8013,Unit,1,1,6,,6,71,54,1970,335,28/06/2025,7,-,480000,230718.232,249281.768,1/08/2022,Multi-unit,Residential Suburban Density Transition,Rear,No appreciable view,Tile Profile,Concrete,Residential-Purpose built flat-1970's-average,partial,dining table;double beds,,YES,-43.5123259,172.6463342
6/168 EDGEWARE ROAD,EDGEWARE,CHRISTCHURCH,8013,,1,1,,,,71,60,2025,335,15/02/2025,7,The Good Girls Property Management Ltd,315000,195000,120000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1960's-average,nill,,,NO,-43.514026,172.644092
1/59 Hansons Lane,Upper Riccarton,Christchurch City,2025,apartment,1,1,,1,1,77,56,,340,20/03/2025,188,"Rempstone Real Estate Limited, (Licensed: REAA 2008)",590000,256521.7391,333478.2609,1/08/2022,Special Accomodation,Residential Suburban,,,Steel/G-Iron,Mix.Material,Commercial-Elderly-Suburban-average,Fully Furnished,,,No,-43.5347495,172.5745395
4/62 Springfield Road,St. Albans,Christchurch City,8014,Apartment,1,1,,1,1,,120,1925,340,23/09/2025,1,,744000,410000,334000,1/08/2022,Single Unit excluding Bach,,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Lifestyle-1970's-average,partial,fridge;washing machine,,No,-43.5179248,172.6327636
1/315 WORCESTER STREET,LINWOOD,CHRISTCHURCH,8011,,2,1,1,,1,,,,340,10/06/2025,7,Metro Advances Limited,,,295000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-OYO-1990's-average,,,,YES,-43.5305801,172.6519939
4/136 HOLLY ROAD,ST ALBANS,CHRISTCHURCH,8014,Unit,2,2,,,,,114,1970,345,7/06/2025,7,Rent Wise Property Management,830000,360000,470000,1/08/2022,Multi-unit,Residential Medium Density,,No appreciable view,Malthoid/Fab,Mix.Material,Residential-Purpose built flat-1970's-average,,,,NO,-43.5160647,172.6341354
8/20 AVALON STREET,RICHMOND,CHRISTCHURCH,8013,,1,1,,1,1,71,54,2025,350,28/02/2025,8,Slpm Ltd Auckland,285000,80000,205000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-1970's-average,nill,,,NO,-43.5191738,172.6515736
9/20 AVALON STREET,RICHMOND,CHRISTCHURCH,8013,,1,1,,1,1,71,54,2025,350,20/03/2025,7,Slpm Ltd Auckland,285000,80000,205000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-1970's-average,nill,,,NO,-43.5191745,172.6515088
5/20 AVALON STREET,RICHMOND,CHRISTCHURCH,8013,,1,1,,1,1,71,54,2025,350,30/05/2025,7,Slpm Ltd Auckland,285000,80000,205000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-1970's-average,nill,,,NO,-43.5191719,172.6518111
6/20 AVALON STREET,RICHMOND,CHRISTCHURCH,8013,,1,1,,1,1,71,54,2025,350,8/07/2025,7,Slpm Ltd Auckland,285000,80000,205000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-1970's-average,nill,unfurnished,,NO,-43.5191716,172.6517217
9A/13 Darvel,Riccarton,Christchurch City,,unit,1,1,,1,1,77,56,,350,3/08/2025,52,myRent.co.nz Ltd,630000,351191.4894,278808.5106,1/08/2022,Public Communal - Unlicenced,Residential Medium Density,,,Steel/G-Iron,Mix.Material,Commercial-Accom-Suburban-average,Fully Furnished,,,No,-43.5270758,172.6102659
14/545 Innes Road,Mairehau,Christchurch City,,apartment,1,1,,1,1,77,56,,350,15/08/2025,40,Superior Property Management Limited,590000,256521.7391,333478.2609,1/08/2022,Special Accomodation,Residential Suburban,,,Tile Profile,Brick,Commercial-Accom-Suburban-average,,,,No,-43.492613,172.6526548
15/545 Innes Road,Mairehau,Christchurch City,8052,apartment,1,1,,1,1,77,56,2025,350,5/09/2025,19,Superior Property Management Limited,590000,256521.7391,333478.2609,1/08/2022,Special Accomodation,Residential Suburban,,,Tile Profile,Brick,Commercial-Accom-Suburban-average,,,,No,-43.492613,172.6526548
16/545 Innes Road,Mairehau,Christchurch City,,apartment,1,1,,1,1,77,56,,350,5/09/2025,19,Superior Property Management Limited,590000,256521.7391,333478.2609,1/08/2022,Special Accomodation,Residential Suburban,,,Tile Profile,Brick,Commercial-Accom-Suburban-average,,,,No,-43.492613,172.6526548
6/352 Gloucester Street,City Centre,Christchurch City,,apartment,1,1,,1,,64,58,,350,18/09/2025,6,Metro Advances Limited,400000,170000,230000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Apartment-2010/2019-average,,,,No,-43.5298758,172.634318
6/5 HAAST STREET,LINWOOD,CHRISTCHURCH,8011,,1,1,1,,1,71,60,2025,350,10/03/2025,120,Cowdy,310000,175000,135000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1960's-average,nill,,,YES,-43.5272573,172.6542711
2/42 REDRUTH AVENUE,SPREYDON,CHRISTCHURCH,8024,Unit,1,2,,2,2,624,110,1915,350,18/03/2025,7,Harcourts Asset Managers,630000,450000,180000,1/08/2022,Multi-unit,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Converted Flat-1914/1929-average,nill,,,NO,-43.5494703,172.6253728
3/20 CADOGAN STREET,SYDENHAM,CHRISTCHURCH,8023,Unit,2,1,,1,1,,60,1975,350,21/02/2025,7,"Whittle Knight Real Estate Ltd, (Licensed: Reaa 2008)",350000,225000,125000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,nill,,,NO,-43.5489834,172.6404067
53 FLEMINGTON AVENUE,NORTH NEW BRIGHTON,CHRISTCHURCH,8083,House,2,2,,,,569,86,1982,350,7/07/2025,7,Veterinary Nurse Services,340000,260000,80000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-Mixed Age-poor,nill,,,NO,-43.4891115,172.7107878
44 NGARIMU STREET,AVONSIDE,CHRISTCHURCH,8061,Unit,2,2,,2,2,663,95,1890,350,29/05/2025,7,Quinovic Merivale,410000,285000,125000,1/08/2022,Multi-unit,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Converted Flat-pre 1914-average,nill,,,NO,-43.5220032,172.6744997
56 MACKWORTH STREET,WOOLSTON,CHRISTCHURCH,8062,House,2,1,,1,1,1012,113,1945,350,25/05/2025,3,Iron Bridge Property Management - Christchurch,540000,485000,55000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Fibre Cement,Weatherboard,Residential-Dwelling-1940's-average,nill,,,NO,-43.5412681,172.6721027
3/12 COOPERS ROAD,DALLINGTON,CHRISTCHURCH,8061,Unit,2,1,,2,2,697,,1905,355,16/08/2025,62,Quinovic Riccarton,570000,270000,300000,1/08/2022,Multi-unit,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Converted Flat-pre 1914-average,partial,fridge;fridge/freezer,,NO,-43.5109725,172.6672317
1/24 LONGFELLOW STREET,SYDENHAM,CHRISTCHURCH,8023,Unit,2,1,,1,1,,80,1975,359,23/01/2025,8,"Braziers Limited, (Licensed: Reaa 2008)",430000,270000,160000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Tile Profile,Brick,Residential-OYO-1970's-average,nill,,,NO,-43.5567748,172.6408425
1/24 Longfellow Street,Sydenham,Christchurch City,8023,unit,2,1,1,1,1,140,80,1975,359,19/09/2025,5,"Braziers Limited, (Licensed: REAA 2008)",430000,270000,160000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Tile Profile,Brick,Residential-OYO-1970's-average,,,,Yes,-43.5567725,172.641105
2/137 Chester Street East,City Centre,Christchurch City,8011,unit,1,1,,1,1,77,40,1970,360,,,Holmwood Property Management,290000,203508.7719,86491.22807,1/08/2022,Multi-unit,Central City Guest Accommodation,Rear,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-1970's-average,,,,No,-43.527477,172.6471931
2/28 Avonside Drive,City Centre,Christchurch City,8011,apartment,1,1,,1,1,64,52,1915,360,12/06/2025,104,,590000,305000,285000,1/08/2022,Multi-unit,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Converted Flat-1914/1929-average,partial,fridge,,No,-43.5265672,172.6524304
5/354 Durham Street North,City Centre,Christchurch City,8013,unit,1,1,,1,1,77,54.5,2025,360,19/08/2025,36,Real Property Management Ltd,600000,354098.3607,245901.6393,1/08/2022,Multi-unit,Central City Guest Accommodation,Corner,No appreciable view,Steel/G-Iron,Concrete,Residential-Purpose built flat-1930's-average,,,,No,-43.524214,172.6337795
33 Erica street,Papanui,Christchurch City,2025,house,1,1,,1,1,77,56,,360,26/09/2025,0,,590000,275506.6079,314493.3921,1/08/2022,Special Accomodation,Residential Suburban,,,Steel/G-Iron,Mix.Material,Commercial-Accom-Suburban-average,Fully Furnished,,,No,-43.4983076,172.6179792
2/114 King Street,Sydenham,Christchurch City,8023,unit,1,1,,1,1,77,70,1975,360,1/09/2025,23,"Holmwood Property Management - Sherborne, (Licensed: REAA 2008)",315000,175000,140000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,,,,No,-43.554196,172.6427681
3/62 Springfield Road,St. Albans,Christchurch City,8014,Apartment,1,1,,1,1,,120,1925,360,23/09/2025,1,,744000,410000,334000,1/08/2022,Single Unit excluding Bach,,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Lifestyle-1970's-average,partial,fridge;washing machine,,No,-43.5179248,172.6327636
6/93 RACECOURSE ROAD,SOCKBURN,CHRISTCHURCH,8042,Unit,2,1,,1,1,,50,1975,360,1/07/2025,7,Bayleys Property Management Ltd,290000,114000,176000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,nill,,,NO,-43.5296822,172.5514032
2/114 KING STREET,SYDENHAM,CHRISTCHURCH,8023,Unit,2,1,,1,1,,70,1975,360,2/09/2025,9,"Holmwood Property Management - Sherborne, (Licensed: Reaa 2008)",315000,175000,140000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,nill,,,NO,-43.5543076,172.6426243
394 HAREWOOD ROAD,BISHOPDALE,CHRISTCHURCH,8053,Unit,2,1,,,,98,92,1983,360,14/08/2025,372,-,520000,247619.0476,272380.9524,1/08/2022,Multi-unit,Residential Suburban,,No appreciable view,Tile Profile,Concrete,Residential-Purpose built flat-1980's-average,nill,,,NO,-43.4849482,172.5823669
676 WORCESTER STREET,LINWOOD,CHRISTCHURCH,8062,Unit,2,2,,2,2,438,120,1905,360,18/06/2025,36,Vision Property Management,465000,260000,205000,1/08/2022,Multi-unit,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Converted Flat-pre 1914-average,nill,,,NO,-43.5268112,172.6744517
3/168 EDGEWARE ROAD,EDGEWARE,CHRISTCHURCH,8013,,2,1,1,,1,102,60,2025,365,5/06/2025,7,The Good Girls Property Management Ltd,315000,125357.1429,189642.8571,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,,,,YES,-43.5137301,172.6441086
416 WORCESTER STREET,LINWOOD,CHRISTCHURCH,8011,Unit,2,1,4,,4,98,73,1965,365,28/05/2025,13,The Good Girls Property Management Ltd,540000,184615.3846,355384.6154,1/08/2022,Multi-unit,Residential Zone D,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Purpose built flat-1960's-average,partial,washing machine,,YES,-43.5310766,172.6589858
77E BORDESLEY STREET,PHILLIPSTOWN,CHRISTCHURCH,8011,,1,1,,,,112,44,2000,370,29/08/2025,12,Propertyscouts Christchurch Metro,270000,130000,140000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-OYO-2000/2009-average,nill,,,NO,-43.5378493,172.663703
6B MACMILLAN AVENUE,CASHMERE,CHRISTCHURCH,8022,Unit,1,1,,3,3,71,54,1920,370,4/08/2025,240,"Whittle Knight Real Estate Ltd, (Licensed: Reaa 2008)",480000,230718.232,249281.768,1/08/2022,Multi-unit,Residential Hills,Rear,Focal Point Of view - Other,Tile Profile,Weatherboard,Residential-Converted Flat-1914/1929-average,nill,,,NO,-43.5725078,172.6285699
1b/6B MacMillan Avenue,Cashmere,Christchurch City,8022,apartment,1,1,,3,1,77,56,2025,370,4/08/2025,51,"Whittle Knight Real Estate Ltd, (Licensed: REAA 2008)",590000,256521.7391,333478.2609,1/08/2022,Multi-unit,Residential Hills,Rear,Focal Point Of view - Other,Tile Profile,Weatherboard,Residential-Converted Flat-1914/1929-average,,,,No,-43.5725078,172.6285699
454 Greers Rd,Bishopdale,Christchurch City,8053,apartment,1,1,,2,1,77,56,1960,370,21/08/2025,34,Trust Living Investment Limited,590000,256521.7391,333478.2609,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-1960's-average,Fully Furnished,,,No,-43.4873216,172.5967557
19/545 Innes Road,Mairehau,Christchurch City,,apartment,1,1,,1,1,77,56,,370,5/09/2025,19,Superior Property Management Limited,590000,256521.7391,333478.2609,1/08/2022,Special Accomodation,Residential Suburban,,,Tile Profile,Brick,Commercial-Accom-Suburban-average,,,,No,-43.492613,172.6526548
4/5 HAAST STREET,LINWOOD,CHRISTCHURCH,8011,,1,1,,,,71,60,2025,370,1/05/2025,7,Bayleys Property Management Ltd,310000,175000,135000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1960's-average,nill,,,NO,-43.5273943,172.6542673
GrannyFlat/156 Hills Rd,Edgeware,Christchurch City,,apartment,1,1,,1,1,83,74,,370,22/09/2025,2,,615000,215000,400000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-OYO-2020/2029-average,partial,washing machine,,No,-43.5109213,172.6519135
GrannyFlat/156 Hills Rd,Edgeware,Christchurch City,,apartment,1,1,,1,1,83,74,,370,22/09/2025,2,,615000,215000,400000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-OYO-2020/2029-average,partial,washing machine,,No,-43.5109213,172.6519135
2/27 PURCHAS STREET,ST ALBANS,CHRISTCHURCH,8014,,1,1,3,,3,508,,2000,370,21/05/2025,7,-,810000,670000,140000,1/08/2022,Multi-unit,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Home & Income-Mixed Age-average,Fully Furnished,,,YES,-43.5184724,172.6377678
3/85 HILLS ROAD,EDGEWARE,CHRISTCHURCH,8013,,2,1,,1,1,1075,,1960,370,31/01/2025,7,The Good Girls Property Management Ltd,,,140000,1/08/2022,Multi-unit,Residential Suburban Density Transition,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1960's-average,nill,,,NO,-43.514516,172.6511168
5/106 NURSERY ROAD,PHILLIPSTOWN,CHRISTCHURCH,8011,Unit,1,1,,,,,40,1975,375,16/01/2025,7,Real Property Management Ltd,265000,110000,155000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-1970's-average,nill,,,NO,-43.5343837,172.6585559
1/41 ONSLOW STREET,ST ALBANS,CHRISTCHURCH,8014,Unit,1,1,,4,4,71,50.5,1960,375,29/05/2025,15,"Braziers Limited, (Licensed: Reaa 2008)",470000,230300,239700,1/08/2022,Multi-unit,Residential Medium Density,Inside,No appreciable view,Tile Profile,Concrete,Residential-Purpose built flat-1960's-average,partial,fridge;washing machine,Pets OK,NO,-43.5180393,172.6274542
7/545 Innes Road,Mairehau,Christchurch City,,apartment,1,1,,1,1,77,56,,375,1/09/2025,23,Superior Property Management Limited,590000,256521.7391,333478.2609,1/08/2022,Special Accomodation,Residential Suburban,,,Tile Profile,Brick,Commercial-Accom-Suburban-average,,,,No,-43.492613,172.6526548
8/507 CASHEL STREET,LINWOOD,CHRISTCHURCH,8011,Unit,2,1,1,,1,,60,1975,375,18/03/2025,7,The Good Girls Property Management Ltd,310000,140000,170000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-1970's-average,nill,,,YES,-43.532679,172.6617246
1/129 GERALDINE STREET,EDGEWARE,CHRISTCHURCH,8013,Unit,2,1,,1,1,,64,1970,375,8/04/2025,7,"Holmwood Property Management - Sherborne, (Licensed: Reaa 2008)",355000,225000,130000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,,,,NO,-43.5144396,172.6472652
5/433 WORCESTER STREET,LINWOOD,CHRISTCHURCH,8011,Unit,2,1,1,,1,,70,1975,375,6/04/2025,64,Prestige Property Management Ltd,360000,220000,140000,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,partial,dining table,,YES,-43.5304278,172.6593885
2/620 Cashel Street,Linwood,Christchurch City,8011,house,2,1,1,1,1,838.95,70,1915,375,28/07/2025,58,"Najib Real Estate Ltd, (Licensed: REAA 2008)",370000,175000,195000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,partial,fridge,,Yes,-43.5331906,172.6692614
4/29 Heywood Terrace,Richmond,Christchurch City,8013,unit,2,1,,1,1,106,70,1965,375,16/09/2025,8,"Whittle Knight Real Estate Ltd, (Licensed: REAA 2008)",410000,175000,235000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-OYO-1960's-average,,,,No,-43.5235319,172.6526513
1/58 SHERBORNE STREET,ST ALBANS,CHRISTCHURCH,8014,Unit,2,1,,2,4,101,76,1965,375,8/04/2025,7,The Good Girls Property Management Ltd,630000,310873.3624,319126.6376,1/08/2022,Multi-unit,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Purpose built flat-1960's-average,nill,,,NO,-43.5170243,172.6380979
1/7 ALBEMARLE STREET,SYDENHAM,CHRISTCHURCH,8023,Unit,2,1,,2,2,354,100,1975,375,10/06/2025,7,Bayleys Property Management Ltd,510000,340000,170000,1/08/2022,Multi-unit,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Purpose built flat-1970's-average,nill,,,NO,-43.5481291,172.6411382
128A Cranford Street,St. Albans,Christchurch City,8014,unit,2,1,1,,2,140,120,1910,375,22/09/2025,2,Holmwood Property Management,600000,410000,190000,1/08/2022,Multi-unit,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Converted Flat-1914/1929-average,nill,unfurnished,,Yes,-43.507376,172.6374609
6/72 ALEXANDRA STREET,RICHMOND,CHRISTCHURCH,8013,Unit,1,1,,2,6,935,,1975,379,15/07/2025,47,Quinovic Riccarton,1190000,855000,335000,1/08/2022,Multi-unit,Residential Zone D,Inside,No appreciable view,Tile Profile,Brick,Residential-Purpose built flat-1970's-average,nill,,No,NO,-43.5229255,172.6553556
G04/171 St Asaph Street,City Centre,Christchurch City,,apartment,1,1,,1,1,60,52,,380,2/05/2025,145,Orbit Property Management,510000,237326.7327,272673.2673,1/08/2022,Multi-use within Commercial,Commercial Central City (South Frame) Mixed Use,,,Steel/G-Iron,Mix.Material,Commercial-Multiple/Other-CBD,nill,unfurnished,,No,-43.5360612,172.6351713
G04/171 St Asaph Street,City Centre,Christchurch City,,apartment,1,1,,1,1,60,52,,380,2/05/2025,145,Orbit Property Management,510000,237326.7327,272673.2673,1/08/2022,Multi-use within Commercial,Commercial Central City (South Frame) Mixed Use,,,Steel/G-Iron,Mix.Material,Commercial-Multiple/Other-CBD,nill,unfurnished,,No,-43.5360612,172.6351713
16/126 NURSERY ROAD,LINWOOD,CHRISTCHURCH,8011,Apartment,1,1,,,,75,53,2025,380,30/05/2025,141,A1 Property Managers Ltd,280000,125000,155000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Corner,No appreciable view,Steel/G-Iron,Concrete,Residential-Apartment-2010/2019-average,nill,,,NO,-43.539553,172.6561557
8 Clearwater Avenue,Northwood,Christchurch City,8051,house,1,1,3,,1,77,56,2001,380,24/03/2025,184,Trust Living Investment Limited,590000,275506.6079,314493.3921,1/08/2022,Multi Unit - Lifestyle,Rural Urban Fringe,Inside,Focal Point Of view - Water,Tile Profile,"Roughcast,etc",Lifestyle-2000/2009 superior,partial,dining table;fridge;microwave;washing machine,,No,-43.4569053,172.5974104
11/168 Stanmore Road,Linwood,Christchurch City,2025,apartment,1,1,,1,1,77,56,,380,12/08/2025,43,A1 Property Managers Ltd,540000,337894.7368,202105.2632,1/08/2022,Multi-unit,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Converted Flat-pre 1914-average,,,,No,-43.5267755,172.6581182
1/77 SHERBORNE STREET,ST ALBANS,CHRISTCHURCH,8014,,1,1,1,,1,506,120,2000,380,21/05/2025,7,First National Lethbridge,620000,560000,60000,1/08/2022,Multi-unit,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Vacant Flat Land,nill,,Pets OK,YES,-43.5169955,172.637749
173 SPRINGFIELD ROAD,ST ALBANS,CHRISTCHURCH,8014,,1,1,6,,6,1070,,2000,380,7/08/2025,7,Property Partner,1280000,760000,520000,1/08/2022,Multi-unit,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Purpose built flat-Mixed Age-average,nill,,,YES,-43.512157,172.6315835
10 BRYNLEY STREET,HORNBY,CHRISTCHURCH,8042,,1,1,,1,1,956,,2000,380,15/08/2025,239,"Cowdy, (Licensed: Reaa 2008)",,,,1/08/2022,Multi-unit,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Multiple Dwellings-Mixed Age-average,nill,,,NO,-43.5443252,172.5278531
2/36 GERALDINE STREET,EDGEWARE,CHRISTCHURCH,8013,Unit,2,1,,1,1,,60,1975,380,28/07/2025,7,Xclusive Property Management,350000,265000,85000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,nill,,,NO,-43.5191313,172.6478377
4/74 BRYNLEY STREET,HORNBY,CHRISTCHURCH,8042,Unit,2,1,,1,1,,63,1970,380,21/07/2025,7,"Irelands, (Licensed: Reaa 2008)",400000,255000,145000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,partial,washing machine,,NO,-43.5488052,172.5328814
3/15 SOMERSET CRESCENT,SPREYDON,CHRISTCHURCH,8024,Unit,2,1,,1,1,,71,1970,380,9/08/2025,7,-,360000,275000,85000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,nill,,,NO,-43.548894,172.6192614
