street_address,suburb,city,postcode,property_type2,bedrooms,bathrooms,garage_parks,offstreet_parks,Carparks,land_size,floor_size,year_built,last_rent_price,last_rent_date,days_on_market,agency,capital_value,land_value,improvement_value,valuation,land_use,development_zone,position,view,roof_construction,wall_construction,category,furnishings,furnishings_evidence,pets,garage,Latitude,Longitude
3/45 SUGDEN STREET,SPREYDON,CHRISTCHURCH,8024,Townhouse,3,2,1,,1,123,117,2025,650,15/07/2025,2,Grenadier Rent Shop Ltd,720000,215000,505000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.553289,172.6172196
2/43 SUGDEN STREET,SPREYDON,CHRISTCHURCH,8024,Townhouse,3,2,1,,1,123,117,2025,650,25/08/2025,17,"Property Brokers, (Licensed: Reaa 2008)",720000,215000,505000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.5531794,172.6177084
2/43 Sugden Street,Spreydon,Christchurch City,8024,apartment,3,2,1,,1,123,117,2025,650,25/08/2025,30,"Property Brokers, (Licensed: REAA 2008)",720000,295419.8473,424580.1527,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,,,Pets OK,Yes,-43.5531794,172.6177084
67 Sabys Road,Halswell,Christchurch City,8025,House,3,2,2,2,2,635,117,1970,650,11/09/2025,13,Grenadier Rent Shop Ltd,710000,400000,310000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Dwelling-1970's-average,,,,Yes,-43.5893418,172.5645256
1e Thorrington Lane,Cashmere,Christchurch City,8022,Unit,3,1,,,,316,117,1970,650,24/09/2025,0,Grenadier Rent Shop Ltd,720000,280000,440000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-OYO-1970's-average,,,Pets OK,No,-43.5651234,172.6358226
62 River Stone Drive,Halswell,Christchurch City,8025,apartment,3,2,1,1,2,300,118.5,2025,650,5/09/2025,19,Max Property Management Ltd,770000,385000,385000,1/08/2022,Multi-unit,Residential New Neighbourhood,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Multiple Dwellings-2020/2029-average,,,Pets OK,Yes,-43.5973004,172.5634601
31 GREENAWAY STREET,HALSWELL,CHRISTCHURCH,8025,Townhouse,3,1,1,,1,200,119,2014,650,23/01/2025,8,"Braziers Limited, (Licensed: Reaa 2008)",630000,360000,270000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-OYO-2010/2019-average,nill,,,YES,-43.5763743,172.5470287
4/31 NEWMARK STREET,BISHOPDALE,CHRISTCHURCH,8053,Townhouse,3,3,1,,1,131,119,2024,650,5/05/2025,36,Harcourts Accommodation Centre,660000,235000,425000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.4908991,172.5837323
9C CHAMPION STREET,EDGEWARE,CHRISTCHURCH,8013,Townhouse,3,2,2,,2,174,119,2008,650,29/05/2025,14,Quinovic Merivale,640000,238048.7805,401951.2195,1/08/2022,Single Unit excluding Bach,Residential Medium Density,,No appreciable view,Mix.Material,"Roughcast,etc",Residential-OYO-2000/2009-average,nill,,,YES,-43.5202353,172.648715
29C REDRUTH AVENUE,SPREYDON,CHRISTCHURCH,8024,Townhouse,3,2,1,,1,142,119,2024,650,30/05/2025,7,Opes Property Management South Limited,700000,200000,500000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.5499521,172.6235013
