Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (m²),Floor Size (m²),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value,Living Space (m²),3-Month Period,Actual Price per m²,Expected Price per m²
30 EALING STREET ,"Redwood, Christchurch",8051,3,1,2,668.0,105,1950,535.0,2023-09-16,7,False,"$490,000",105,2023Q3,5.095238095238095,5.40643929541407
14A HEAPHY PLACE ,"Casebrook, Christchurch",8051,3,1,1,642.0,100,1970,530.0,2023-09-23,7,False,"$510,000",100,2023Q3,5.3,5.6001496749555075
31A LARCH PLACE ,"Casebrook, Christchurch",8051,3,1,1,642.0,110,1980,530.0,2023-09-08,7,False,"$540,000",110,2023Q3,4.818181818181818,5.19429559580888
19A NORTHCOTE ROAD ,"Northcote, Christchurch",8052,3,1,3,642.0,100,1990,530.0,2023-10-12,7,False,"$520,000",100,2023Q4,5.3,5.563328165732046
10 CUNLIFFE ROAD ,"Redwood, Christchurch",8051,3,1,2,511.0,100,1985,530.0,2023-05-09,7,False,"$590,000",100,2023Q2,5.3,5.572727335392335
33 FARQUHARS ROAD ,"Redwood, Christchurch",8051,3,1,2,612.0,100,1970,530.0,2024-08-06,7,False,"$720,000",100,2024Q3,5.3,5.608300907719318
2/49 CHIPPING LANE ,"Redwood, Christchurch",8051,3,1,1,642.0,120,1970,525.0,2024-08-27,24,True,"$490,000",120,2024Q3,4.375,4.636374543390773
2/29 DUNEDIN STREET ,"Redwood, Christchurch",8051,3,1,2,642.0,114,1990,525.0,2024-09-14,6,True,"$600,000",114,2024Q3,4.605263157894737,4.881596992478587
1/3 JAMES CONDON PLACE ,"Redwood, Christchurch",8051,3,1,1,642.0,100,1975,525.0,2023-12-11,19,False,"$510,000",100,2023Q4,5.25,5.578365517665073
35 TIVOLI PLACE ,"Bishopdale, Christchurch",8053,3,1,2,537.0,170,1980,520.0,2023-05-15,7,False,"$690,000",170,2023Q2,3.0588235294117645,3.310113278888207
17 CLARIDGES ROAD ,"Casebrook, Christchurch",8051,3,1,2,809.0,120,1955,520.0,2023-06-21,8,False,"$630,000",120,2023Q2,4.333333333333333,4.842090184554212
97A VAGUES ROAD ,"Northcote, Christchurch",8052,3,1,2,642.0,150,1990,520.0,2023-09-01,7,False,"$630,000",150,2023Q3,3.466666666666667,3.742471247105303
120 NORTHCOTE ROAD ,"Northcote, Christchurch",8052,3,1,2,587.0,107,1970,510.0,2023-08-09,7,False,"$520,000",107,2023Q3,4.766355140186916,5.392581627365822
42 BAINTON STREET ,"Bishopdale, Christchurch",8053,3,1,4,712.0,170,2000,495.0,2023-10-18,7,False,"$710,000",170,2023Q4,2.911764705882353,3.2056653843353136
18 CHEDWORTH AVENUE ,"Bishopdale, Christchurch",8053,3,1,2,632.0,100,1960,490.0,2024-09-17,6,True,"$590,000",100,2024Q3,4.9,5.517548315850621
1/242A SAWYERS ARMS ROAD ,"Bishopdale, Christchurch",8053,3,1,1,642.0,120,1970,430.0,2023-07-03,36,False,"$510,000",120,2023Q3,3.5833333333333335,4.636374543390773
46 LAMBETH CRESCENT ,"Redwood, Christchurch",8051,3,1,2,731.0,104,1950,430.0,2023-09-01,7,False,"$490,000",104,2023Q3,4.134615384615385,5.227351258911444
8 SAWYERS ARMS ROAD ,"Northcote, Christchurch",8052,3,1,1,344.0,100,1940,390.0,2024-06-21,7,False,"$540,000",100,2024Q2,3.9,5.8222660328902665
62 FARQUHARS ROAD ,"Redwood, Christchurch",8051,3,1,1,645.0,116,1970,350.0,2024-02-24,7,False,"$660,000",116,2024Q1,3.0172413793103448,4.465612805946121
