iter	Passed	Remaining
1659	92189	16827
1660	92239	16770
1661	92282	16713
1662	92332	16656
1663	92402	16603
1664	92447	16546
1665	92495	16489
1666	92544	16432
1667	92597	16376
1668	92651	16320
1669	92697	16263
1670	92741	16206
1671	92787	16148
1672	92844	16093
1673	92903	16038
1674	92957	15983
1675	93022	15929
1676	93135	15883
1677	93197	15829
1678	93256	15774
1679	93317	15719
1680	93406	15669
1681	93464	15614
1682	93523	15559
1683	93576	15503
1684	93641	15449
1685	93696	15393
1686	93758	15339
1687	93841	15288
1688	93887	15231
1689	93933	15173
1690	93981	15117
1691	94051	15063
1692	94116	15009
1693	94178	14955
1694	94241	14900
1695	94302	14846
1696	94358	14790
1697	94414	14734
1698	94477	14680
1699	94545	14626
1700	94589	14569
1701	94651	14514
1702	94693	14457
1703	94753	14402
1704	94816	14347
1705	94876	14292
1706	94938	14237
1707	94986	14181
1708	95047	14126
1709	95095	14069
1710	95167	14016
1711	95223	13960
1712	95281	13905
1713	95338	13850
1714	95400	13795
1715	95458	13740
1716	95508	13683
1717	95562	13627
1718	95647	13576
1719	95696	13519
1720	95758	13465
1721	95804	13408
1722	95850	13351
1723	95895	13294
1724	95941	13237
1725	95986	13180
1726	96032	13123
1727	96089	13067
1728	96149	13012
1729	96187	12954
1730	96231	12897
1731	96275	12840
1732	96319	12783
1733	96363	12726
1734	96406	12669
1735	96451	12611
1736	96503	12556
1737	96563	12501
1738	96622	12445
1739	96681	12390
1740	96734	12334
1741	96785	12278
1742	96838	12222
1743	96888	12166
1744	96954	12112
1745	97014	12057
1746	97087	12003
1747	97156	11949
1748	97215	11894
1749	97275	11839
1750	97336	11784
1751	97397	11729
1752	97453	11674
1753	97512	11619
1754	97564	11563
1755	97631	11508
1756	97688	11453
1757	97732	11396
1758	97783	11340
1759	97827	11283
1760	97873	11226
1761	97916	11169
1762	97961	11113
1763	98005	11056
1764	98051	10999
1765	98106	10943
1766	98157	10887
1767	98209	10831
1768	98254	10775
1769	98299	10718
1770	98343	10661
1771	98387	10604
1772	98431	10548
1773	98481	10492
1774	98588	10442
1775	98646	10386
1776	98703	10331
1777	98765	10276
1778	98824	10221
1779	98876	10165
1780	98924	10109
1781	98990	10054
1782	99057	10000
1783	99122	9945
1784	99172	9889
1785	99228	9833
1786	99293	9779
1787	99342	9723
1788	99427	9670
1789	99474	9614
1790	99531	9558
1791	99596	9503
1792	99652	9448
1793	99698	9391
1794	99744	9335
1795	99790	9278
1796	99837	9222
1797	99901	9167
1798	99977	9114
1799	100059	9060
1800	100107	9004
1801	100154	8948
1802	100215	8893
1803	100290	8839
1804	100373	8786
1805	100434	8731
1806	100478	8674
1807	100523	8617
1808	100569	8561
1809	100626	8505
1810	100681	8450
1811	100728	8394
1812	100787	8338
1813	100855	8284
1814	100945	8231
1815	100991	8174
1816	101049	8119
1817	101111	8064
1818	101173	8009
1819	101235	7954
1820	101303	7899
1821	101366	7844
1822	101427	7789
1823	101491	7734
1824	101569	7680
1825	101629	7625
1826	101688	7569
1827	101744	7513
1828	101803	7458
1829	101851	7402
1830	101898	7346
1831	101944	7289
1832	102007	7234
1833	102067	7179
1834	102127	7123
1835	102188	7068
1836	102234	7012
1837	102279	6955
1838	102341	6900
1839	102405	6845
1840	102460	6789
1841	102514	6734
1842	102562	6677
1843	102609	6621
1844	102657	6565
1845	102711	6509
1846	102758	6453
1847	102814	6398
1848	102877	6342
1849	102930	6287
1850	102990	6231
1851	103041	6175
1852	103090	6119
1853	103153	6064
1854	103207	6008
1855	103256	5952
1856	103315	5897
1857	103377	5842
1858	103437	5786
1859	103494	5731
1860	103546	5675
1861	103612	5620
1862	103665	5564
1863	103724	5508
1864	103786	5453
1865	103841	5397
1866	103897	5342
1867	103960	5287
1868	104035	5232
1869	104096	5176
1870	104146	5121
1871	104202	5065
1872	104252	5009
1873	104308	4953
1874	104369	4898
1875	104435	4843
1876	104495	4787
1877	104547	4731
1878	104591	4675
1879	104649	4620
1880	104693	4563
1881	104737	4507
1882	104786	4451
1883	104836	4395
1884	104880	4339
1885	104943	4284
1886	104994	4228
1887	105052	4173
1888	105105	4117
1889	105155	4061
1890	105205	4005
1891	105263	3950
1892	105308	3894
1893	105354	3838
1894	105399	3782
1895	105444	3726
1896	105490	3670
1897	105562	3615
1898	105614	3559
1899	105670	3503
1900	105738	3448
1901	105784	3392
1902	105847	3337
1903	105892	3281
1904	105940	3225
1905	105999	3169
1906	106064	3114
1907	106127	3059
1908	106189	3003
1909	106249	2948
1910	106313	2892
1911	106358	2836
1912	106427	2781
1913	106482	2726
1914	106545	2670
1915	106618	2615
1916	106687	2560
1917	106748	2504
1918	106796	2448
1919	106841	2392
1920	106895	2337
1921	106940	2281
1922	106985	2225
1923	107032	2169
1924	107081	2113
1925	107131	2058
1926	107176	2002
1927	107237	1946
1928	107286	1890
1929	107330	1835
1930	107404	1779
1931	107461	1724
1932	107522	1668
1933	107573	1613
1934	107619	1557
1935	107665	1501
1936	107710	1445
1937	107767	1390
1938	107830	1334
1939	107891	1279
1940	107945	1223
1941	108006	1167
1942	108077	1112
1943	108148	1057
1944	108211	1001
1945	108263	945
1946	108295	889
1947	108359	834
1948	108409	778
1949	108468	723
1950	108532	667
1951	108594	611
1952	108673	556
1953	108734	500
1954	108781	445
1955	108843	389
1956	108906	333
1957	108967	278
1958	109020	222
1959	109079	166
1960	109164	111
1961	109212	55
1962	109266	0
