iter	Passed	Remaining
401	21743	84430
402	21801	84391
403	21852	84327
404	21900	84250
405	21960	84218
406	22035	84242
407	22102	84240
408	22155	84178
409	22212	84136
410	22282	84143
411	22364	84191
412	22412	84113
413	22464	84053
414	22523	84014
415	22586	83991
416	22630	83902
417	22677	83819
418	22730	83761
419	22794	83744
420	22849	83689
421	22905	83644
422	22954	83569
423	23015	83539
424	23049	83412
425	23095	83329
426	23159	83310
427	23205	83224
428	23250	83137
429	23296	83053
430	23341	82968
431	23396	82917
432	23457	82886
433	23503	82804
434	23551	82727
435	23616	82712
436	23673	82668
437	23726	82607
438	23777	82544
439	23822	82458
440	23867	82373
441	23928	82340
442	23978	82273
443	24022	82186
444	24069	82105
445	24114	82021
446	24173	81982
447	24226	81927
448	24300	81941
449	24349	81869
450	24397	81792
451	24440	81703
452	24485	81618
453	24542	81574
454	24612	81572
455	24668	81524
456	24711	81434
457	24754	81343
458	24834	81376
459	24892	81333
460	24947	81282
461	25003	81233
462	25068	81214
463	25136	81206
464	25190	81150
465	25246	81102
466	25315	81096
467	25367	81034
468	25428	81002
469	25494	80984
470	25553	80945
471	25622	80938
472	25673	80875
473	25723	80805
474	25774	80743
475	25820	80661
476	25876	80613
477	25931	80561
478	25988	80515
479	26066	80533
480	26115	80464
481	26178	80435
482	26273	80506
483	26320	80428
484	26395	80439
485	26447	80375
486	26504	80329
487	26553	80259
488	26600	80182
489	26646	80102
490	26694	80028
491	26740	79951
492	26795	79898
493	26848	79839
494	26915	79822
495	26990	79828
496	27035	79745
497	27054	79589
498	27100	79510
499	27146	79429
500	27204	79388
501	27265	79351
502	27319	79297
503	27363	79211
504	27417	79158
505	27471	79101
506	27517	79023
507	27562	78942
508	27636	78947
509	27712	78952
510	27756	78869
511	27800	78786
512	27855	78733
513	27902	78660
514	27964	78625
515	28009	78545
516	28054	78467
517	28098	78383
518	28158	78343
519	28206	78273
520	28266	78233
521	28314	78163
522	28396	78184
523	28455	78143
524	28504	78076
525	28552	78003
526	28611	77963
527	28666	77910
528	28725	77867
529	28777	77808
530	28848	77797
531	28923	77798
532	28988	77774
533	29041	77717
534	29093	77654
535	29174	77672
536	29216	77584
537	29308	77630
538	29371	77597
539	29420	77527
540	29466	77452
541	29514	77379
542	29559	77302
543	29605	77224
544	29661	77173
545	29731	77161
546	29782	77098
547	29828	77019
548	29873	76942
