street_address,Suburb,city,Postcode,property_type2,Bed,Bath,garage_parks,offstreet_parks,Car,land_size,floor_size,Year Built,Last Rental Price,Last Rental Date,Days on Market,agency,Capital Value,Land Value,Improvement Value,Valuation Date,land_use,development_zone,position,view,roof_construction,wall_construction,category,Furnishings,furnishings_evidence,pets,garage,Latitude,Longitude,__row_id,__geo_query__
6B HUDSON STREET,BRYNDWR,CHRISTCHURCH,8053,Townhouse,2.0,1.0,1.0,,1.0,98.0,110.0,2025.0,535.0,2025-06-19,57.0,Priority Property Management Ltd,570000.0,350000.0,220000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,partial,washer,,YES,-43.5000412,172.5955174,3028,"6B HUDSON STREET, BRYNDWR, CHRISTCHURCH, 8053, New Zealand"
5/46 LONGFELLOW STREET,SYDENHAM,CHRISTCHURCH,8023,Unit,2.0,1.0,,,0.0,,50.0,1975.0,395.0,2025-06-19,2.0,"Irelands, (Licensed: Reaa 2008)",375000.0,225000.0,150000.0,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,nill,,Pets OK,NO,-43.5556761,172.6412265,44,"5/46 LONGFELLOW STREET, SYDENHAM, CHRISTCHURCH, 8023, New Zealand"
77 DOVER STREET,ST ALBANS,CHRISTCHURCH,8014,Unit,2.0,2.0,2.0,,2.0,405.0,100.0,1960.0,455.0,2025-06-19,49.0,The Good Girls Property Management Ltd,620000.0,455000.0,165000.0,1/08/2022,Multi-unit,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Purpose built flat-1960's-average,nill,,,YES,-43.5102528,172.6363074,2319,"77 DOVER STREET, ST ALBANS, CHRISTCHURCH, 8014, New Zealand"
2/36 CHIPPING LANE,REDWOOD,CHRISTCHURCH,8051,Unit,3.0,1.0,1.0,,1.0,,100.0,1980.0,520.0,2025-06-19,7.0,-,500000.0,240000.0,260000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Tile Profile,Concrete,Residential-OYO-1980's-average,nill,,,YES,-43.4753063,172.6200789,2458,"2/36 CHIPPING LANE, REDWOOD, CHRISTCHURCH, 8051, New Zealand"
2/29 PALMERS ROAD,NEW BRIGHTON,CHRISTCHURCH,8083,,2.0,1.0,2.0,,2.0,,,1985.0,540.0,2025-06-19,15.0,Iron Bridge Property Management - Christchurch,530000.0,240000.0,290000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Stone,Residential-Dwelling-1980's-average,nill,,,YES,-43.4964718,172.713633,6416,"2/29 PALMERS ROAD, NEW BRIGHTON, CHRISTCHURCH, 8083, New Zealand"
2/26 SWANNS ROAD,RICHMOND,CHRISTCHURCH,8013,Townhouse,2.0,1.0,1.0,,1.0,110.0,74.0,2023.0,520.0,2025-06-19,21.0,Xclusive Property Management,590000.0,160000.0,430000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-OYO-2020/2029-average,partial,dryer;washer;washer/dryer,,YES,-43.522951,172.6581567,923,"2/26 SWANNS ROAD, RICHMOND, CHRISTCHURCH, 8013, New Zealand"
5/29 DRAPER STREET,RICHMOND,CHRISTCHURCH,8013,Unit,2.0,1.0,,1.0,1.0,,60.0,1975.0,400.0,2025-06-19,2.0,Harcourts Gold Property Management,300000.0,170000.0,130000.0,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,nill,,,NO,-43.523348,172.6554473,290,"5/29 DRAPER STREET, RICHMOND, CHRISTCHURCH, 8013, New Zealand"
5/11 TRIST PLACE,EDGEWARE,CHRISTCHURCH,8013,Townhouse,3.0,2.0,1.0,,1.0,183.0,87.0,2025.0,620.0,2025-06-20,22.0,Opes Property Management South Limited,680000.0,200000.0,480000.0,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.5179501,172.6505094,1633,"5/11 TRIST PLACE, EDGEWARE, CHRISTCHURCH, 8013, New Zealand"
27A WINSOR CRESCENT,SPREYDON,CHRISTCHURCH,8024,House,3.0,1.0,,,0.0,474.0,120.0,1990.0,550.0,2025-06-20,58.0,"Whittle Knight Real Estate Ltd, (Licensed: Reaa 2008)",620000.0,390000.0,230000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Rear,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-1990's-average,nill,,Pets OK,NO,-43.5594687,172.6132092,3614,"27A WINSOR CRESCENT, SPREYDON, CHRISTCHURCH, 8024, New Zealand"
29/17 BUNYAN STREET,WALTHAM,CHRISTCHURCH,8023,Townhouse,2.0,2.0,1.0,,1.0,,72.0,2016.0,500.0,2025-06-20,65.0,Max Property Management Ltd,550000.0,133000.0,417000.0,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2010/2019-average,partial,dryer;fridge;microwave;washing machine,No,YES,-43.5503305,172.6483203,789,"29/17 BUNYAN STREET, WALTHAM, CHRISTCHURCH, 8023, New Zealand"
39 ACACIA AVENUE,UPPER RICCARTON,CHRISTCHURCH,8041,House,5.0,2.0,1.0,,1.0,688.0,160.0,1950.0,1050.0,2025-06-20,2.0,Holmwood Property Management,800000.0,405000.0,395000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1950's-average,nill,,,YES,-43.5360026,172.5778527,5134,"39 ACACIA AVENUE, UPPER RICCARTON, CHRISTCHURCH, 8041, New Zealand"
1/97 HOON HAY ROAD,HOON HAY,CHRISTCHURCH,8025,House,3.0,1.0,,1.0,1.0,,104.0,2014.0,550.0,2025-06-20,2.0,"Holmwood Property Management - Sherborne, (Licensed: Reaa 2008)",630000.0,265000.0,365000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-2010/2019-average,nill,,,NO,-43.5735112,172.6088237,2695,"1/97 HOON HAY ROAD, HOON HAY, CHRISTCHURCH, 8025, New Zealand"
1/29 GORDON AVENUE,ST ALBANS,CHRISTCHURCH,8014,Unit,2.0,1.0,2.0,,2.0,101.0,76.0,1960.0,480.0,2025-06-20,2.0,Holmwood Property Management,630000.0,389016.3934,240983.6066,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1960's-average,nill,,,YES,-43.5120875,172.6269489,1072,"1/29 GORDON AVENUE, ST ALBANS, CHRISTCHURCH, 8014, New Zealand"
71 COLLIER DRIVE,HALSWELL,CHRISTCHURCH,8025,House,3.0,2.0,2.0,,2.0,400.0,159.0,2022.0,680.0,2025-06-20,746.0,Opes Property Management South Limited,805000.0,400000.0,405000.0,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-2020/2029-average,nill,,,YES,-43.5754331,172.5845814,5075,"71 COLLIER DRIVE, HALSWELL, CHRISTCHURCH, 8025, New Zealand"
5 PACERS LANE,YALDHURST,CHRISTCHURCH,8042,House,3.0,2.0,1.0,,1.0,359.0,126.0,2022.0,635.0,2025-06-20,7.0,Red Chili Property Management Ltd,690000.0,320000.0,370000.0,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-2020/2029-average,nill,,,YES,-43.5242471,172.5248397,3948,"5 PACERS LANE, YALDHURST, CHRISTCHURCH, 8042, New Zealand"
