street_address,Suburb,city,Postcode,property_type2,Bed,Bath,garage_parks,offstreet_parks,Car,land_size,floor_size,Year Built,Last Rental Price,Last Rental Date,Days on Market,agency,Capital Value,Land Value,Improvement Value,Valuation Date,land_use,development_zone,position,view,roof_construction,wall_construction,category,Furnishings,furnishings_evidence,pets,garage,Latitude,Longitude,__row_id,__geo_query__
9 Straven Road,RICCARTON,Christchurch City,8011,house,0.5,1.0,,0.5,0.5,88.33333333,91.66666667,1990.0,195.0,2025-01-06,261.0,A1 Property Managers Ltd,125000.0,65833.33333,355000.0,1/08/2022,Multi-unit,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Converted Flat-1990's-average,Fully Furnished,,,No,-43.5288384,172.6018585,8532,"9 Straven Road, RICCARTON, Christchurch City, 8011, New Zealand"
4/10 Newnham Terrace,UPPER RICCARTON,Christchurch City,8041,unit,1.0,1.0,,1.0,1.0,77.0,56.0,2025.0,300.0,2025-01-10,257.0,Sunshine Housing Ltd,630000.0,351191.4894,278808.5106,1/08/2022,Multi-unit,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Purpose built flat-2020/2029-average,Fully Furnished,,,No,-43.530708,172.5771658,7500,"4/10 Newnham Terrace, UPPER RICCARTON, Christchurch City, 8041, New Zealand"
41 Mathers Road,HOON HAY,Christchurch City,8025,House,4.0,1.0,,2.0,2.0,809.0,120.0,1950.0,799.0,2025-01-12,255.0,,610000.0,390000.0,220000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1950's-average,,,,No,-43.5596968,172.5968797,7614,"41 Mathers Road, HOON HAY, Christchurch City, 8025, New Zealand"
6/532 Cashel Street,LINWOOD,Christchurch City,8011,Unit,0.5,1.0,,0.5,0.5,122.6666667,31.66666667,1940.0,250.0,2025-01-15,252.0,Rent Wise Property Management,113333.3333,107500.0,35000.0,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Vacant Flat Land,Fully Furnished,,,No,-43.5331816,172.6633945,8537,"6/532 Cashel Street, LINWOOD, Christchurch City, 8011, New Zealand"
1/97 CORONATION STREET,SPREYDON,CHRISTCHURCH,8024,Townhouse,2.0,2.0,1.0,,1.0,119.0,79.0,2024.0,540.0,2025-01-16,7.0,Brooksfield,610000.0,225000.0,385000.0,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-OYO-2020/2029-average,nill,,,YES,-43.5496902,172.6210477,1217,"1/97 CORONATION STREET, SPREYDON, CHRISTCHURCH, 8024, New Zealand"
4/113 EDINBURGH STREET,SPREYDON,CHRISTCHURCH,8024,Townhouse,2.0,2.0,1.0,,1.0,163.0,101.0,2023.0,600.0,2025-01-16,7.0,First National Lethbridge,545000.0,215000.0,330000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.5505722,172.6052801,2566,"4/113 EDINBURGH STREET, SPREYDON, CHRISTCHURCH, 8024, New Zealand"
18 LORENZOS LANE,HALSWELL,CHRISTCHURCH,8025,House,3.0,3.0,2.0,,2.0,515.0,,2024.0,790.0,2025-01-16,17.0,Myrent.Co.NZ Ltd,905000.0,430000.0,475000.0,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-2020/2029-average,nill,,,YES,-43.5961566,172.5670629,6046,"18 LORENZOS LANE, HALSWELL, CHRISTCHURCH, 8025, New Zealand"
27A GIBBON STREET,SYDENHAM,CHRISTCHURCH,8023,Townhouse,2.0,1.0,1.0,,1.0,114.0,71.0,2020.0,520.0,2025-01-16,7.0,Wolfbrook Property Management,630000.0,295000.0,335000.0,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.552147,172.6447327,689,"27A GIBBON STREET, SYDENHAM, CHRISTCHURCH, 8023, New Zealand"
75A LANGDONS ROAD,PAPANUI,CHRISTCHURCH,8053,Townhouse,2.0,1.0,,1.0,1.0,96.5,100.0,2025.0,600.0,2025-01-16,29.0,-,570000.0,270000.0,300000.0,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,nill,,,NO,-43.4927285,172.6038732,2366,"75A LANGDONS ROAD, PAPANUI, CHRISTCHURCH, 8053, New Zealand"
52A PERTH STREET,RICHMOND,CHRISTCHURCH,8013,House,3.0,1.0,1.0,,1.0,280.0,126.0,1990.0,550.0,2025-01-16,45.0,Iron Bridge Property Management - Christchurch,530000.0,325000.0,205000.0,1/08/2022,Single Unit excluding Bach,Residential Zone D,Rear,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1990's-average,nill,,,YES,-43.5200113,172.6533212,3954,"52A PERTH STREET, RICHMOND, CHRISTCHURCH, 8013, New Zealand"
57 YALDHURST ROAD,SOCKBURN,CHRISTCHURCH,8042,House,3.0,1.0,,1.0,1.0,,101.0,1950.0,590.0,2025-01-16,7.0,Myrent.Co.NZ Ltd,570000.0,435000.0,135000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1950's-average,,,,NO,-43.5303889,172.5659443,2559,"57 YALDHURST ROAD, SOCKBURN, CHRISTCHURCH, 8042, New Zealand"
6 KINNAIRD PLACE,HILLMORTON,CHRISTCHURCH,8025,House,3.0,1.0,,1.0,1.0,607.0,110.0,1950.0,590.0,2025-01-16,7.0,-,650000.0,300000.0,350000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1950's-average,nill,,,NO,-43.5562438,172.5891644,2936,"6 KINNAIRD PLACE, HILLMORTON, CHRISTCHURCH, 8025, New Zealand"
131 GLANDOVEY ROAD,STROWAN,CHRISTCHURCH,8052,Unit,2.0,2.0,1.0,,1.0,,100.0,1965.0,465.0,2025-01-16,56.0,Najib Property Management,580000.0,560000.0,20000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Concrete,Residential-OYO-1960's-average,nill,,,YES,-43.5134153,172.6079809,2362,"131 GLANDOVEY ROAD, STROWAN, CHRISTCHURCH, 8052, New Zealand"
3/74 GRENVILLE STREET,WALTHAM,CHRISTCHURCH,8011,Townhouse,2.0,1.0,1.0,,1.0,130.0,79.0,2024.0,550.0,2025-01-16,7.0,Max Property Management Ltd,535000.0,140000.0,395000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Rear,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.5442976,172.6627666,1228,"3/74 GRENVILLE STREET, WALTHAM, CHRISTCHURCH, 8011, New Zealand"
131 SOMERFIELD STREET,SOMERFIELD,CHRISTCHURCH,8024,House,4.0,2.0,,,0.0,506.0,120.0,1910.0,750.0,2025-01-16,7.0,Iron Bridge Property Management - Christchurch,950000.0,470000.0,480000.0,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-1914/1929-average,nill,,,NO,-43.557513,172.6354733,3486,"131 SOMERFIELD STREET, SOMERFIELD, CHRISTCHURCH, 8024, New Zealand"
3/123 CLARENCE STREET,RICCARTON,CHRISTCHURCH,8011,Unit,2.0,1.0,1.0,,1.0,,94.0,1970.0,600.0,2025-01-16,7.0,Myrent.Co.NZ Ltd,455000.0,315000.0,140000.0,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Tile Profile,Mix.Material,Residential-OYO-1970's-average,nill,,,YES,-43.5357906,172.6025349,2094,"3/123 CLARENCE STREET, RICCARTON, CHRISTCHURCH, 8011, New Zealand"
2/611 MADRAS STREET,ST ALBANS,CHRISTCHURCH,8014,Unit,2.0,1.0,,1.0,1.0,101.0,61.0,1990.0,520.0,2025-01-16,35.0,Wolfbrook Property Management,490000.0,240000.0,250000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-OYO-1990's-average,nill,,,NO,-43.5110309,172.6422185,305,"2/611 MADRAS STREET, ST ALBANS, CHRISTCHURCH, 8014, New Zealand"
45 ARTHUR STREET,UPPER RICCARTON,CHRISTCHURCH,8041,House,3.0,1.0,1.0,2.0,3.0,658.0,141.0,2025.0,1100.0,2025-01-16,7.0,Vision Realty Management Ltd,880000.0,390000.0,490000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-2020/2029-average,nill,,,YES,-43.5376861,172.5789971,4589,"45 ARTHUR STREET, UPPER RICCARTON, CHRISTCHURCH, 8041, New Zealand"
4/72 WARD STREET,ADDINGTON,CHRISTCHURCH,8024,Unit,2.0,1.0,,1.0,1.0,,54.0,1980.0,420.0,2025-01-16,52.0,"Irelands, (Licensed: Reaa 2008)",400000.0,127000.0,273000.0,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1980's-average,nill,,,NO,-43.5461457,172.6212792,127,"4/72 WARD STREET, ADDINGTON, CHRISTCHURCH, 8024, New Zealand"
105/142 LEINSTER ROAD,MERIVALE,CHRISTCHURCH,8014,Townhouse,2.0,2.0,,1.0,1.0,,71.0,2021.0,530.0,2025-01-16,7.0,A1 Property Managers Ltd,680000.0,330000.0,350000.0,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,NO,-43.5118745,172.6193739,680,"105/142 LEINSTER ROAD, MERIVALE, CHRISTCHURCH, 8014, New Zealand"
5 MARINE PARADE,NORTH NEW BRIGHTON,CHRISTCHURCH,8083,House,1.0,1.0,,1.0,1.0,506.0,54.0,1915.0,470.0,2025-01-16,7.0,Myrent.Co.NZ Ltd,475000.0,340000.0,135000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-pre 1914-average,nill,,,NO,-43.4867617,172.7234179,121,"5 MARINE PARADE, NORTH NEW BRIGHTON, CHRISTCHURCH, 8083, New Zealand"
10A KILDARE STREET,BELFAST,CHRISTCHURCH,8051,House,4.0,2.0,2.0,,2.0,416.0,157.0,2024.0,710.0,2025-01-16,7.0,Opes Property Management South Limited,760000.0,380000.0,380000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Mix.Material,Residential-Dwelling-2020/2029-average,nill,,,YES,-43.4546311,172.6212637,5041,"10A KILDARE STREET, BELFAST, CHRISTCHURCH, 8051, New Zealand"
14 MASON PLACE,SOCKBURN,CHRISTCHURCH,8042,House,3.0,1.0,,3.0,3.0,792.0,140.0,1960.0,590.0,2025-01-16,7.0,"Braziers Limited, (Licensed: Reaa 2008)",610000.0,445000.0,165000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1960's-average,nill,,,NO,-43.5323675,172.5529855,4556,"14 MASON PLACE, SOCKBURN, CHRISTCHURCH, 8042, New Zealand"
3/24 SEYMOUR STREET,HORNBY,CHRISTCHURCH,8042,Unit,2.0,1.0,,1.0,1.0,,80.0,1970.0,465.0,2025-01-16,7.0,"Irelands, (Licensed: Reaa 2008)",425000.0,205000.0,220000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Rear,No appreciable view,Steel/G-Iron,Brick,Residential-OYO-1970's-average,nill,,,NO,-43.546325,172.5177526,1409,"3/24 SEYMOUR STREET, HORNBY, CHRISTCHURCH, 8042, New Zealand"
4/85 YALDHURST ROAD,SOCKBURN,CHRISTCHURCH,8042,,2.0,1.0,1.0,,1.0,,80.0,2000.0,525.0,2025-01-16,7.0,Bayleys Property Management Ltd,500000.0,230000.0,270000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-2000/2009-average,nill,,,YES,-43.5296282,172.562765,1357,"4/85 YALDHURST ROAD, SOCKBURN, CHRISTCHURCH, 8042, New Zealand"
1/44 SEYMOUR STREET,HORNBY,CHRISTCHURCH,8042,,3.0,2.0,,2.0,2.0,1012.0,,1990.0,625.0,2025-01-16,19.0,Myrent.Co.NZ Ltd,630000.0,330000.0,355000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Dwelling-1960's-average,nill,,,NO,-43.5475065,172.5196273,6551,"1/44 SEYMOUR STREET, HORNBY, CHRISTCHURCH, 8042, New Zealand"
13 BATEMAN AVENUE,BRYNDWR,CHRISTCHURCH,8053,,1.0,0.0,,1.0,0.0,75.0,51.0,1940.0,290.0,2025-01-16,7.0,-,377500.0,175000.0,155000.0,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Tile Profile,Aluminium,Residential-Dwelling-1940's-average,nill,,,NO,-43.5073509,172.5909004,96,"13 BATEMAN AVENUE, BRYNDWR, CHRISTCHURCH, 8053, New Zealand"
3 AERMACCHI LANE,WIGRAM,CHRISTCHURCH,8042,Townhouse,3.0,2.0,1.0,,1.0,249.0,129.0,2018.0,630.0,2025-01-16,7.0,-,720000.0,375000.0,345000.0,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2010/2019-average,nill,,,YES,-43.5517957,172.5540652,4013,"3 AERMACCHI LANE, WIGRAM, CHRISTCHURCH, 8042, New Zealand"
87C SAINT MARTINS ROAD,SAINT MARTINS,CHRISTCHURCH,8022,Townhouse,2.0,1.0,1.0,,1.0,,80.0,2007.0,525.0,2025-01-16,7.0,Cpm Canterbury Property Management,520000.0,190000.0,330000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Corner,No appreciable view,Tile Profile,Brick,Residential-OYO-2000/2009-average,nill,,,YES,-43.5550973,172.6522853,1344,"87C SAINT MARTINS ROAD, SAINT MARTINS, CHRISTCHURCH, 8022, New Zealand"
37 Wrights Road,ADDINGTON,Christchurch City,8024,house,5.0,2.0,,1.0,1.0,658.0,150.0,1915.0,1100.0,2025-01-16,251.0,,510000.0,245000.0,265000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-pre 1914-average,,,,No,-43.5479228,172.5985355,8129,"37 Wrights Road, ADDINGTON, Christchurch City, 8024, New Zealand"
1/499 CASHEL STREET,LINWOOD,CHRISTCHURCH,8011,Unit,2.0,1.0,1.0,1.0,1.0,930.0,460.0,1970.0,465.0,2025-01-16,7.0,Rent Wise Property Management,630000.0,330000.0,155000.0,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,nill,,,YES,-43.532768,172.661147,5679,"1/499 CASHEL STREET, LINWOOD, CHRISTCHURCH, 8011, New Zealand"
22 DICKENS STREET,ADDINGTON,CHRISTCHURCH,8024,,4.0,1.0,4.0,2.0,6.0,912.0,491.0,2013.0,520.0,2025-01-16,7.0,Prestige Property Management Limited,1840000.0,810000.0,1030000.0,1/08/2022,Multi-unit,Residential Zone D,Inside,No appreciable view,Mix.Material,Mix.Material,Residential-Multiple Dwellings-Mixed Age-average,nill,,,YES,-43.5431153,172.6148883,5680,"22 DICKENS STREET, ADDINGTON, CHRISTCHURCH, 8024, New Zealand"
8 CADOGAN STREET,SYDENHAM,CHRISTCHURCH,8023,,1.0,1.0,,2.0,5.0,1101.0,,1910.0,320.0,2025-01-16,7.0,-,1110000.0,1080000.0,30000.0,1/08/2022,Multi-unit,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Vacant Flat Land,nill,,,NO,-43.5494426,172.6403681,5833,"8 CADOGAN STREET, SYDENHAM, CHRISTCHURCH, 8023, New Zealand"
10/21 BLAKES ROAD,BELFAST,CHRISTCHURCH,8051,House,3.0,2.0,2.0,,2.0,408.0,152.0,2021.0,650.0,2025-01-16,7.0,Iron Bridge Property Management - Christchurch,770000.0,420000.0,350000.0,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-2020/2029-average,nill,,,YES,-43.4593356,172.6341426,4948,"10/21 BLAKES ROAD, BELFAST, CHRISTCHURCH, 8051, New Zealand"
4 SQUIRE STREET,MAIREHAU,CHRISTCHURCH,8013,Unit,3.0,1.0,1.0,,1.0,640.0,,1939.0,575.0,2025-01-16,7.0,Keyhook,910000.0,350000.0,560000.0,1/08/2022,Multi-unit,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Multiple Dwellings-Mixed Age-average,nill,,,YES,-43.5039611,172.6436232,6032,"4 SQUIRE STREET, MAIREHAU, CHRISTCHURCH, 8013, New Zealand"
8/468 CASHEL STREET,LINWOOD,CHRISTCHURCH,8011,Apartment,1.0,1.0,,,0.0,75.0,53.0,2025.0,400.0,2025-01-16,7.0,Iron Bridge Property Management - Christchurch,320000.0,140000.0,180000.0,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Corner,No appreciable view,Steel/G-Iron,Concrete,Residential-Apartment-2010/2019-average,nill,,,NO,-43.5331924,172.6584566,115,"8/468 CASHEL STREET, LINWOOD, CHRISTCHURCH, 8011, New Zealand"
61A BURKE STREET,ADDINGTON,CHRISTCHURCH,8024,Townhouse,3.0,1.0,2.0,,2.0,208.0,138.0,2000.0,650.0,2025-01-16,7.0,Myrent.Co.NZ Ltd,610000.0,185000.0,425000.0,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-2000/2009-average,Fully Furnished,,,YES,-43.5447817,172.6256439,4432,"61A BURKE STREET, ADDINGTON, CHRISTCHURCH, 8024, New Zealand"
14/333 LINCOLN ROAD,ADDINGTON,CHRISTCHURCH,8024,Townhouse,3.0,3.0,1.0,,1.0,59.0,127.0,2023.0,620.0,2025-01-16,7.0,Wolfbrook Property Management,730000.0,180000.0,550000.0,1/08/2022,Residential,Commercial Mixed Use,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.541347,172.6124693,3970,"14/333 LINCOLN ROAD, ADDINGTON, CHRISTCHURCH, 8024, New Zealand"
24 LOTUS PLACE,WIGRAM,CHRISTCHURCH,8025,House,3.0,2.0,2.0,,2.0,497.0,141.0,2021.0,650.0,2025-01-16,7.0,Iron Bridge Property Management - Christchurch,830000.0,490000.0,340000.0,1/08/2022,Single Unit excluding Bach,Residential New Neighbourhood,Rear,No appreciable view,Tile Profile,Brick,Residential-Dwelling-2020/2029-average,nill,,,YES,-43.5634528,172.5452721,4590,"24 LOTUS PLACE, WIGRAM, CHRISTCHURCH, 8025, New Zealand"
1/1 PAPRIKA PLACE,BISHOPDALE,CHRISTCHURCH,8053,Unit,2.0,1.0,1.0,,1.0,,90.0,1970.0,530.0,2025-01-16,7.0,-,485000.0,305000.0,185000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,nill,,,YES,-43.4862681,172.596885,1856,"1/1 PAPRIKA PLACE, BISHOPDALE, CHRISTCHURCH, 8053, New Zealand"
8/70 BROCKWORTH PLACE,RICCARTON,CHRISTCHURCH,8011,Townhouse,2.0,1.0,,,0.0,79.0,78.0,2020.0,525.0,2025-01-16,7.0,-,670000.0,260000.0,410000.0,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,NO,-43.5311612,172.610156,1154,"8/70 BROCKWORTH PLACE, RICCARTON, CHRISTCHURCH, 8011, New Zealand"
1 PURAU TERRACE,CASHMERE,CHRISTCHURCH,8022,House,4.0,3.0,1.0,,1.0,728.0,,2015.0,900.0,2025-01-16,7.0,Max Property Management Ltd,1210000.0,450000.0,760000.0,1/08/2022,Single Unit excluding Bach,Residential Hills,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-2010/2019-average,nill,,,YES,-43.5676636,172.6310146,5782,"1 PURAU TERRACE, CASHMERE, CHRISTCHURCH, 8022, New Zealand"
2/11 SULBY ROAD,CASHMERE,CHRISTCHURCH,8022,Unit,3.0,1.0,1.0,,1.0,,150.0,1970.0,540.0,2025-01-16,7.0,-,570000.0,390000.0,180000.0,1/08/2022,Single Unit excluding Bach,Residential Hills,Rear,Focal Point Of view - Other,Tile Profile,Concrete,Residential-OYO-1970's-average,nill,,,YES,-43.5716024,172.6325563,4901,"2/11 SULBY ROAD, CASHMERE, CHRISTCHURCH, 8022, New Zealand"
36 FREDERICK STREET,WALTHAM,CHRISTCHURCH,8011,House,4.0,2.0,,1.0,1.0,740.0,150.0,1920.0,720.0,2025-01-16,7.0,-,530000.0,520000.0,10000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Corner,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-1914/1929-average,nill,,,NO,-43.5434122,172.6637112,4908,"36 FREDERICK STREET, WALTHAM, CHRISTCHURCH, 8011, New Zealand"
23 ILAM ROAD,UPPER RICCARTON,CHRISTCHURCH,8041,House,3.0,1.0,,1.0,1.0,825.0,110.0,1930.0,535.0,2025-01-16,7.0,Bayleys Property Management Ltd,720000.0,580000.0,140000.0,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1930's-average,nill,,,NO,-43.5295766,172.5796475,2884,"23 ILAM ROAD, UPPER RICCARTON, CHRISTCHURCH, 8041, New Zealand"
26 WOODFORD TERRACE,ILAM,CHRISTCHURCH,8053,House,3.0,1.0,,2.0,2.0,721.0,122.0,1960.0,600.0,2025-01-16,49.0,"Harcourts Four Seasons Realty 2017 Ltd Rangiora, (Licensed: Reaa 2008)",910000.0,870000.0,40000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-1960's-average,nill,,,NO,-43.5149472,172.5890778,3775,"26 WOODFORD TERRACE, ILAM, CHRISTCHURCH, 8053, New Zealand"
3/16 GROVE ROAD,ADDINGTON,CHRISTCHURCH,8024,Unit,2.0,1.0,,1.0,1.0,,60.0,1970.0,465.0,2025-01-16,7.0,Rent Wise Property Management,380000.0,160000.0,220000.0,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,partial,washing machine,,NO,-43.5431719,172.6183907,246,"3/16 GROVE ROAD, ADDINGTON, CHRISTCHURCH, 8024, New Zealand"
1/18 SEDGWICK WAY,WESTMORLAND,CHRISTCHURCH,8025,House,3.0,3.0,2.0,,2.0,,,1990.0,650.0,2025-01-16,113.0,"Irelands, (Licensed: Reaa 2008)",660000.0,230000.0,430000.0,1/08/2022,Single Unit excluding Bach,Residential Hills,Rear,Focal Point Of view - Other,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-1990's-poor,nill,,,YES,-43.5797754,172.6040579,6373,"1/18 SEDGWICK WAY, WESTMORLAND, CHRISTCHURCH, 8025, New Zealand"
37 WRIGHTS ROAD,ADDINGTON,CHRISTCHURCH,8024,,5.0,1.0,,1.0,1.0,,150.0,1915.0,1100.0,2025-01-16,100.0,-,510000.0,245000.0,265000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-pre 1914-average,nill,,,NO,-43.5479228,172.5985355,4912,"37 WRIGHTS ROAD, ADDINGTON, CHRISTCHURCH, 8024, New Zealand"
51A BROCKWORTH PLACE,RICCARTON,CHRISTCHURCH,8011,,2.0,1.0,,1.0,1.0,428.0,91.0,2000.0,450.0,2025-01-16,37.0,Vision Realty Management Ltd,630000.0,375529.4118,254470.5882,1/08/2022,Multi-unit,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Multiple Dwellings-Mixed Age-average,nill,,,NO,-43.5323345,172.609634,1936,"51A BROCKWORTH PLACE, RICCARTON, CHRISTCHURCH, 8011, New Zealand"
1/78 VAGUES ROAD,NORTHCOTE,CHRISTCHURCH,8052,,3.0,2.0,,1.0,1.0,706.0,100.0,1947.0,600.0,2025-01-16,7.0,-,630000.0,330000.0,115000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Fibre Cement,Fibre Cement,Residential-Dwelling-1940's-average,nill,,,NO,-43.4865013,172.6100111,2523,"1/78 VAGUES ROAD, NORTHCOTE, CHRISTCHURCH, 8052, New Zealand"
1 KEENE STREET,WIGRAM,CHRISTCHURCH,8042,House,3.0,2.0,1.0,,1.0,220.0,,2015.0,680.0,2025-01-16,7.0,-,850000.0,375000.0,475000.0,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-Dwelling-2010/2019-average,nill,,,YES,-43.5525612,172.5541809,6132,"1 KEENE STREET, WIGRAM, CHRISTCHURCH, 8042, New Zealand"
6/44 SOUTHAMPTON STREET,SYDENHAM,CHRISTCHURCH,8023,Unit,2.0,1.0,,1.0,1.0,,60.0,1975.0,510.0,2025-01-16,7.0,-,450000.0,270000.0,180000.0,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,nill,,,NO,-43.5534246,172.6385471,219,"6/44 SOUTHAMPTON STREET, SYDENHAM, CHRISTCHURCH, 8023, New Zealand"
2/9 TULLOCH PLACE,PAPANUI,CHRISTCHURCH,8052,Townhouse,2.0,1.0,1.0,,1.0,96.5,120.0,2025.0,530.0,2025-01-16,7.0,Holmwood Property Management,530000.0,360000.0,170000.0,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,nill,,,YES,-43.4940344,172.6115909,3696,"2/9 TULLOCH PLACE, PAPANUI, CHRISTCHURCH, 8052, New Zealand"
37 HAWTHORNE STREET,STROWAN,CHRISTCHURCH,8052,House,3.0,1.0,,2.0,2.0,640.0,110.0,1940.0,660.0,2025-01-16,21.0,-,1020000.0,800000.0,220000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1940's-average,nill,,,NO,-43.504174,172.6081247,2847,"37 HAWTHORNE STREET, STROWAN, CHRISTCHURCH, 8052, New Zealand"
3 SIDDAL PLACE,RICHMOND,CHRISTCHURCH,8013,Townhouse,2.0,1.0,8.0,,6.0,98.0,74.0,2016.0,460.0,2025-01-16,7.0,The Good Girls Property Management Ltd,530000.0,187708.3333,342291.6667,1/08/2022,Multi-unit,Residential Zone D,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Purpose built flat-2010/2019-average,nill,,,YES,-43.5181872,172.6567775,973,"3 SIDDAL PLACE, RICHMOND, CHRISTCHURCH, 8013, New Zealand"
