Last Rental Date,Bed,Last Rental Price,Dollar_Volume,Volume,VWAP_3M,VWAP_2Y,Volume_eq,VWAP_3M_eq,VWAP_2Y_eq,Rolling_Median_3M_bed,Rolling_Median_2Y_bed,Volume_all,VWAP_3M_all,VWAP_2Y_all,Volume_all_eq,VWAP_3M_all_eq,VWAP_2Y_all_eq,Percentage_Diff,Percentage_Diff_eq,Percentage_Diff_all,Percentage_Diff_all_eq,RollMed_VWAP_3M_all_eq_30D,RollMed_VWAP_2Y_all_eq_730D
2021-09-16,0.0,535000.0,535000.0,535000.0,82816.30170316302,82816.30170316302,1.0,51375.0,51375.0,33000.0,33000.0,535000.0,82816.30170316302,82816.30170316302,1.0,51375.0,51375.0,0.0,0.0,0.0,0.0,51375.0,70625.0
2021-09-16,0.0,48440.0,48440.0,48440.0,465501.61160354555,409512.15395003377,1.0,155125.0,148100.0,33000.0,38500.0,48440.0,465501.61160354555,409512.15395003377,1.0,155125.0,148100.0,13.672233440071055,4.74341661039838,13.672233440071055,4.74341661039838,103250.0,79250.0
2021-09-21,0.0,37500.0,37500.0,37500.0,435300.8993332735,387342.7429208812,1.0,133788.0,131490.0,38500.0,43470.0,37500.0,435300.8993332735,387342.7429208812,1.0,133788.0,131490.0,12.381323075978807,1.7476614191193247,12.381323075978807,1.7476614191193247,133788.0,99625.0
2021-09-27,0.0,79950.0,79950.0,79950.0,414184.4085838854,371468.5078166594,1.0,117740.0,118062.85714285714,38000.0,38500.0,79950.0,414184.4085838854,371468.5078166594,1.0,117740.0,118062.85714285714,11.4991984161168,-0.2734620783117969,11.4991984161168,-0.2734620783117969,125764.0,118062.85714285714
2021-12-08,0.0,55692.0,55692.0,55692.0,380203.7616195526,345754.5163781595,1.0,112341.42857142857,113298.75,38500.0,43470.0,55692.0,380203.7616195526,345754.5163781595,1.0,112341.42857142857,113298.75,9.963498265259155,-0.8449532131390989,9.963498265259155,-0.8449532131390989,112341.42857142857,115680.80357142858
2021-12-13,0.0,87000.0,87000.0,87000.0,395821.3187255314,328963.6797736575,1.0,151316.4,106898.0,55692.0,48440.0,87000.0,395821.3187255314,328963.6797736575,1.0,151316.4,106898.0,20.323714459260387,41.55213380979999,20.323714459260387,41.55213380979999,131828.91428571427,113298.75
2022-01-13,0.0,120000.0,120000.0,120000.0,363972.0678772188,308897.7172079971,1.0,140597.0,104908.2,67821.0,52066.0,120000.0,363972.0678772188,308897.7172079971,1.0,140597.0,104908.2,17.82931617851266,34.01907572525313,17.82931617851266,34.01907572525313,140597.0,110098.375
2022-02-09,0.0,16640.0,16640.0,16640.0,95437.23776894614,289508.37919324735,1.0,87564.0,106280.18181818182,87000.0,55692.0,16640.0,95437.23776894614,289508.37919324735,1.0,87564.0,106280.18181818182,-67.03472347332593,-17.61022751184263,-67.03472347332593,-17.61022751184263,114080.5,106898.0
2022-02-25,0.0,115000.0,115000.0,115000.0,90743.2319390546,285679.0415999703,1.0,69833.0,98810.16666666667,71346.0,52066.0,115000.0,90743.2319390546,285679.0415999703,1.0,69833.0,98810.16666666667,-68.23595058607056,-29.326098360323925,-68.23595058607056,-29.326098360323925,78698.5,106589.09090909091
2022-03-09,0.0,36000.0,36000.0,36000.0,97817.29219033707,270588.8918339199,1.0,78866.4,100055.53846153847,87000.0,55692.0,36000.0,97817.29219033707,270588.8918339199,1.0,78866.4,100055.53846153847,-63.85021885880864,-21.177376872229434,-63.85021885880864,-21.177376872229434,78866.4,106280.18181818182
2022-03-10,0.0,80000.0,80000.0,80000.0,98139.25261584454,264271.0485531023,1.0,74928.0,95480.14285714286,87000.0,52066.0,80000.0,98139.25261584454,264271.0485531023,1.0,74928.0,95480.14285714286,-62.86416799980095,-21.525044100418782,-62.86416799980095,-21.525044100418782,76897.2,105594.19090909092
2022-04-14,0.0,135000.0,135000.0,135000.0,94947.4080591237,253865.56047269684,1.0,75773.33333333333,94448.13333333333,83500.0,55692.0,135000.0,94947.4080591237,253865.56047269684,1.0,75773.33333333333,94448.13333333333,-62.599334906896416,-19.77254535469909,-62.599334906896416,-19.77254535469909,75773.33333333333,104908.2
