Index,Bed,zRent,zCapVal,isRemoved,Land Size (sqm)_val,Land Size (sqm)_z,Floor Size (sqm)_val,Floor Size (sqm)_z,Year Built_val,Year Built_z,Capital Value_val,Capital Value_z,Last Rental Price_val,Last Rental Price_z
0,0.0,28.579528571428572,11.86569387755102,False,10575.0,9.15557698289269,5116.0,13.432838983050848,2004.0,0.24527272727272728,9620000,11.86569387755102,780000.0,28.579528571428572
1,0.0,19.13652857142857,9.608183673469387,False,7148.0,5.560691290824261,4074.0,10.454749999999999,2000.0,0.0,7980000,9.608183673469387,535000.0,19.13652857142857
2,0.0,17.78752857142857,7.956346938775511,False,7961.0,6.413519440124417,3820.0,9.728805084745764,1990.0,-0.6131818181818182,6780000,7.956346938775511,500000.0,17.78752857142857
3,0.0,9.886242857142857,4.900448979591837,False,4111.0,2.3749113530326595,2100.0,4.812957627118644,2000.0,0.0,4560000,4.900448979591837,295000.0,9.886242857142857
4,0.0,8.537242857142857,3.5927448979591836,False,3494.0,1.7276850699844477,1485.0,3.0552563559322032,2020.0,1.2263636363636363,3610000,3.5927448979591836,260000.0,8.537242857142857
5,0.0,8.02655,4.983040816326531,False,3404.0,1.6332760497667185,1414.0,2.8523347457627115,2000.0,0.0,4620000,4.983040816326531,246750.0,8.02655
6,0.0,7.766385714285715,5.492357142857143,False,5904.0,4.255748833592535,2516.0,6.0019067796610175,2004.0,0.24527272727272728,4990000,5.492357142857143,240000.0,7.766385714285715
7,0.0,7.351086428571429,8.410602040816327,False,34638.0,34.39740202177294,8275.0,22.46142161016949,1960.0,-2.4527272727272726,7110000,8.410602040816327,229225.0,7.351086428571429
8,0.0,5.319685142857143,2.615408163265306,True,3025.0,1.2357091757387249,1380.0,2.7551610169491525,2000.0,0.0,2900000,2.615408163265306,176520.0,5.319685142857143
9,0.0,5.257245714285714,3.468857142857143,True,3971.0,2.2280528771384134,1612.0,3.418228813559322,2012.0,0.7358181818181818,3520000,3.468857142857143,174900.0,5.257245714285714
10,0.0,4.682957142857143,1.1562857142857144,False,3163.0,1.3804696734059096,1690.0,3.6411567796610167,1980.0,-1.2263636363636363,1840000,1.1562857142857144,160000.0,4.682957142857143
11,0.0,3.719385714285714,4.955510204081633,False,3339.0,1.5650917573872472,1373.0,2.735154661016949,1992.0,-0.49054545454545456,4600000,4.955510204081633,135000.0,3.719385714285714
