Index,Bed,mainTarget,mainZ,zCapVal,zRent,SuspiciousFeats,Land Size (sqm)_val,Land Size (sqm)_z,Floor Size (sqm)_val,Floor Size (sqm)_z,Year Built_val,Year Built_z,Capital Value_val,Capital Value_z,Last Rental Price_val,Last Rental Price_z
127,3.0,Last Rental Price,-2.5631,-2.4731666666666667,-2.5631,Capital Value[z=-2.47];Floor Size (sqm)[z=-2.70],218.0,0.0,70.0,-2.698,1975.0,-0.843125,420000.0,-2.4731666666666667,460.0,-2.5631
129,3.0,Last Rental Price,-2.0235,-1.4239444444444445,-2.0235,Capital Value[z=-1.42];Land Size (sqm)[z=1.28];Year Built[z=-3.20],330.0,1.2804067796610168,121.0,-0.4047,1905.0,-3.203875,560000.0,-1.4239444444444445,500.0,-2.0235
138,1.0,Capital Value,3.091458333333333,3.091458333333333,2.698,Last Rental Price[z=2.70];Land Size (sqm)[z=-75544000000.00];Floor Size (sqm)[z=2.29];Year Built[z=2.16],106.0,-75543999999.99998,72.0,2.2933,2023.0,2.1584,690000.0,3.091458333333333,540.0,2.698
654,3.0,Last Rental Price,-2.698,-1.4239444444444445,-2.698,Capital Value[z=-1.42];Land Size (sqm)[z=2.33];Floor Size (sqm)[z=-1.80];Year Built[z=-3.20],422.0,2.3321694915254234,90.0,-1.7986666666666666,1905.0,-3.203875,560000.0,-1.4239444444444445,450.0,-2.698
144,3.0,Last Rental Price,-2.09095,-1.2740555555555555,-2.09095,Capital Value[z=-1.27];Land Size (sqm)[z=2.56];Floor Size (sqm)[z=-1.62];Year Built[z=-2.70],442.0,2.5608135593220336,94.0,-1.6188,1920.0,-2.698,580000.0,-1.2740555555555555,495.0,-2.09095
659,3.0,Last Rental Price,-2.03699,-0.37472222222222223,-2.03699,Land Size (sqm)[z=3.29];Floor Size (sqm)[z=1.35];Year Built[z=-2.70],506.0,3.2924745762711862,160.0,1.349,1920.0,-2.698,700000.0,-0.37472222222222223,499.0,-2.03699
153,3.0,Last Rental Price,-2.8329000000000004,-1.0492222222222223,-2.8329000000000004,Capital Value[z=-1.05];Floor Size (sqm)[z=-1.80];Year Built[z=-1.01],218.0,0.0,90.0,-1.7986666666666666,1970.0,-1.01175,610000.0,-1.0492222222222223,440.0,-2.8329000000000004
667,2.0,Last Rental Price,-2.6474125,-2.1078125,-2.6474125,Capital Value[z=-2.11];Year Built[z=-1.93],218.0,0.0,80.0,0.0,1970.0,-1.9271428571428573,350000.0,-2.1078125,370.0,-2.6474125
158,4.0,Last Rental Price,-1.5237065573770492,-1.22253125,-1.5237065573770492,Capital Value[z=-1.22];Year Built[z=-1.01],531.0,0.14916826923076923,140.0,-0.62054,1910.0,-1.01175,610000.0,-1.22253125,380.0,-1.5237065573770492
162,2.0,Last Rental Price,2.49565,1.349,2.49565,Capital Value[z=1.35];Floor Size (sqm)[z=1.94];Year Built[z=-1.45],218.0,0.0,113.0,1.9355217391304347,1980.0,-1.4453571428571428,760000.0,1.349,675.0,2.49565
685,3.0,Last Rental Price,-2.22585,1.5738333333333334,-2.22585,Capital Value[z=1.57];Land Size (sqm)[z=8.83];Floor Size (sqm)[z=7.64],990.0,8.825661016949152,300.0,7.644333333333333,2000.0,0.0,960000.0,1.5738333333333334,485.0,-2.22585
175,3.0,Capital Value,2.6230555555555557,2.6230555555555557,0.5396,Land Size (sqm)[z=2.19];Floor Size (sqm)[z=3.19],410.0,2.1949830508474575,201.0,3.192633333333333,1990.0,-0.33725,1100000.0,2.6230555555555557,690.0,0.5396
690,2.0,Last Rental Price,-2.1415375,-2.1078125,-2.1415375,Capital Value[z=-2.11];Floor Size (sqm)[z=-1.17];Year Built[z=-1.93],218.0,0.0,60.0,-1.1730434782608696,1970.0,-1.9271428571428573,350000.0,-2.1078125,400.0,-2.1415375
702,4.0,Capital Value,-1.9391875,-1.9391875,-0.9929524590163935,Floor Size (sqm)[z=-1.16],218.0,-0.8658245192307692,120.0,-1.16014,1975.0,0.0843125,440000.0,-1.9391875,500.0,-0.9929524590163935
703,4.0,Last Rental Price,-1.8775426229508196,-0.5901875,-1.8775426229508196,Floor Size (sqm)[z=1.27],777.0,0.9468942307692308,210.0,1.26806,1915.0,-0.9274374999999999,760000.0,-0.5901875,300.0,-1.8775426229508196
193,2.0,Last Rental Price,2.0740875,1.01175,2.0740875,Capital Value[z=1.01];Land Size (sqm)[z=-33050500000.00];Floor Size (sqm)[z=2.40],169.0,-33050499999.999996,121.0,2.4047391304347827,2023.0,0.6263214285714286,720000.0,1.01175,650.0,2.0740875
194,3.0,Capital Value,2.6230555555555557,2.6230555555555557,1.55135,Last Rental Price[z=1.55];Year Built[z=-1.69],218.0,0.0,121.0,-0.4047,1950.0,-1.68625,1100000.0,2.6230555555555557,765.0,1.55135
705,2.0,Last Rental Price,-2.1415375,-1.854875,-2.1415375,Capital Value[z=-1.85];Floor Size (sqm)[z=-1.17];Year Built[z=-1.93],218.0,0.0,60.0,-1.1730434782608696,1970.0,-1.9271428571428573,380000.0,-1.854875,400.0,-2.1415375
708,2.0,Capital Value,-2.1078125,-2.1078125,-1.2984125,Last Rental Price[z=-1.30];Floor Size (sqm)[z=-2.35];Year Built[z=-1.69],218.0,0.0,40.0,-2.3460869565217393,1975.0,-1.6862499999999998,350000.0,-2.1078125,450.0,-1.2984125
710,1.0,Last Rental Price,2.2483333333333335,1.4052083333333334,2.2483333333333335,Capital Value[z=1.41];Year Built[z=2.07],218.0,0.0,48.0,-0.9442999999999999,2021.0,2.0684666666666667,540000.0,1.4052083333333334,520.0,2.2483333333333335
201,2.0,Last Rental Price,-2.9846624999999998,-2.4450625,-2.9846624999999998,Capital Value[z=-2.45];Floor Size (sqm)[z=1.76],218.0,0.0,110.0,1.7595652173913043,1990.0,-0.9635714285714286,310000.0,-2.4450625,350.0,-2.9846624999999998
202,3.0,Last Rental Price,2.698,1.8736111111111111,2.698,Capital Value[z=1.87];Land Size (sqm)[z=1.49];Floor Size (sqm)[z=1.30];Year Built[z=-2.19],348.0,1.4861864406779661,159.0,1.3040333333333334,1935.0,-2.192125,1000000.0,1.8736111111111111,850.0,2.698
713,2.0,Last Rental Price,2.0740875,1.01175,2.0740875,Capital Value[z=1.01];Land Size (sqm)[z=-47889500000.00];Floor Size (sqm)[z=1.64],147.0,-47889499999.99999,108.0,1.6422608695652172,2020.0,0.4817857142857143,720000.0,1.01175,650.0,2.0740875
205,2.0,Last Rental Price,3.4230875,1.01175,3.4230875,Capital Value[z=1.01];Floor Size (sqm)[z=3.52],218.0,0.0,140.0,3.5191304347826087,1990.0,-0.9635714285714286,720000.0,1.01175,730.0,3.4230875
211,2.0,Last Rental Price,-4.6709125,0.33725,-4.6709125,Floor Size (sqm)[z=1.17];Year Built[z=-1.93],218.0,0.0,100.0,1.1730434782608696,1970.0,-1.9271428571428573,640000.0,0.33725,250.0,-4.6709125
723,2.0,Last Rental Price,2.0740875,1.517625,2.0740875,Capital Value[z=1.52];Land Size (sqm)[z=-62728500000.00];Floor Size (sqm)[z=2.46],125.0,-62728499999.99999,122.0,2.463391304347826,2011.0,0.048178571428571425,780000.0,1.517625,650.0,2.0740875
729,4.0,Last Rental Price,-1.5237065573770492,-1.39115625,-1.5237065573770492,Capital Value[z=-1.39];Floor Size (sqm)[z=-1.43],323.0,-0.5253317307692307,110.0,-1.42994,1965.0,-0.0843125,570000.0,-1.39115625,380.0,-1.5237065573770492
222,3.0,Last Rental Price,-5.800699999999999,2.6230555555555557,-5.800699999999999,Capital Value[z=2.62];Land Size (sqm)[z=4.65];Year Built[z=-2.70],625.0,4.652906779661017,124.0,-0.2698,1920.0,-2.698,1100000.0,2.6230555555555557,220.0,-5.800699999999999
737,2.0,Capital Value,-2.1078125,-2.1078125,0.3878375,Floor Size (sqm)[z=-1.76];Year Built[z=-1.93],218.0,0.0,50.0,-1.7595652173913043,1970.0,-1.9271428571428573,350000.0,-2.1078125,550.0,0.3878375
739,2.0,Last Rental Price,-2.3101624999999997,-1.854875,-2.3101624999999997,Capital Value[z=-1.85];Floor Size (sqm)[z=-1.17];Year Built[z=-2.17],218.0,0.0,60.0,-1.1730434782608696,1965.0,-2.1680357142857143,380000.0,-1.854875,390.0,-2.3101624999999997
743,2.0,Last Rental Price,-2.3101624999999997,-1.7705625,-2.3101624999999997,Capital Value[z=-1.77];Floor Size (sqm)[z=-1.17];Year Built[z=-1.93],218.0,0.0,60.0,-1.1730434782608696,1970.0,-1.9271428571428573,390000.0,-1.7705625,390.0,-2.3101624999999997
237,4.0,Capital Value,-1.01175,-1.01175,-0.5948868852459016,Floor Size (sqm)[z=-1.59],524.0,0.12646875,104.0,-1.5918199999999998,1955.0,-0.2529375,660000.0,-1.01175,590.0,-0.5948868852459016
239,4.0,Last Rental Price,-1.5237065573770492,1.2646875,-1.5237065573770492,Capital Value[z=1.26];Floor Size (sqm)[z=2.08],513.0,0.09079807692307693,240.0,2.0774600000000003,1965.0,-0.0843125,1200000.0,1.2646875,380.0,-1.5237065573770492
752,2.0,Last Rental Price,3.001525,1.180375,3.001525,Capital Value[z=1.18];Land Size (sqm)[z=-20235000000.00];Floor Size (sqm)[z=1.64],188.0,-20235000000.0,108.0,1.6422608695652172,2023.0,0.6263214285714286,740000.0,1.180375,705.0,3.001525
754,3.0,Capital Value,2.548111111111111,2.548111111111111,0.8094,Land Size (sqm)[z=6.07];Year Built[z=-2.36],749.0,6.0705,143.0,0.5845666666666667,1930.0,-2.36075,1090000.0,2.548111111111111,710.0,0.8094
254,2.0,Last Rental Price,6.289712499999999,-0.29509375,6.289712499999999,Land Size (sqm)[z=177393500000.00];Year Built[z=-2.89],481.0,177393499999.99997,70.0,-0.5865217391304348,1950.0,-2.8907142857142856,565000.0,-0.29509375,900.0,6.289712499999999
255,3.0,Capital Value,-3.3725,-3.3725,-1.7537,Last Rental Price[z=-1.75];Land Size (sqm)[z=-1.29],105.0,-1.2918389830508472,140.0,0.44966666666666666,1990.0,-0.33725,300000.0,-3.3725,520.0,-1.7537
256,2.0,Last Rental Price,-3.2375999999999996,-2.40290625,-3.2375999999999996,Capital Value[z=-2.40];Floor Size (sqm)[z=-1.17];Year Built[z=-2.17],218.0,0.0,60.0,-1.1730434782608696,1965.0,-2.1680357142857143,315000.0,-2.40290625,335.0,-3.2375999999999996
