Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (m²),Floor Size (m²),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value,Living Space (m²),Quarterly Period,Actual Price per m²,Expected Price per m²
82 LOWRY AVENUE ,"Redwood, Christchurch",8051,3,1,1,668.0,100,1975,650.0,2024-09-10,10,True,600000.0,100,2024Q3,6.5,5.734607767846864
99 REYNOLDS AVENUE ,"Bishopdale, Christchurch",8053,3,1,1,614.0,110,1970,640.0,2024-06-24,19,False,590000.0,110,2024Q2,5.818181818181818,5.291435446161426
74 SAWYERS ARMS ROAD ,"Northcote, Christchurch",8052,3,1,2,923.0,125,1950,640.0,2024-07-10,7,False,730000.0,125,2024Q3,5.12,4.885346110821313
36 WINGATE STREET ,"Redwood, Christchurch",8051,3,1,2,766.0,120,1960,640.0,2024-08-01,7,False,630000.0,120,2024Q3,5.333333333333333,4.862028546554118
28 CLIPPER PLACE ,"Redwood, Christchurch",8051,3,1,2,640.0,114,1960,639.0,2023-06-16,7,False,580000.0,114,2023Q2,5.605263157894737,5.1129394317244135
42 CHEDWORTH AVENUE ,"Bishopdale, Christchurch",8053,3,1,1,794.0,160,1960,620.0,2024-03-05,7,False,690000.0,160,2024Q1,3.875,3.67744644550433
15 OPAL PLACE ,"Casebrook, Christchurch",8051,3,1,2,642.0,120,1960,620.0,2024-03-18,7,False,560000.0,120,2024Q1,5.166666666666667,4.780309170094512
7 ROYLEEN STREET ,"Casebrook, Christchurch",8051,3,1,1,607.0,112,1960,620.0,2023-10-21,7,False,630000.0,112,2023Q4,5.535714285714286,5.316523185586
69 DUNEDIN STREET ,"Redwood, Christchurch",8051,3,1,2,642.0,110,1955,620.0,2023-05-03,7,False,640000.0,110,2023Q2,5.636363636363637,5.315229910010366
41 MOMORANGI CRESCENT ,"Redwood, Christchurch",8051,3,1,2,872.0,109,1950,620.0,2024-06-11,7,False,640000.0,109,2024Q2,5.6880733944954125,5.434707709943506
28 CHEDWORTH AVENUE ,"Bishopdale, Christchurch",8053,3,1,2,683.0,127,1960,600.0,2024-06-06,7,False,680000.0,127,2024Q2,4.724409448818897,4.683976144162532
2/7 TIVOLI PLACE ,"Bishopdale, Christchurch",8053,3,1,2,642.0,130,1980,600.0,2024-05-30,23,False,600000.0,130,2024Q2,4.615384615384615,4.4273250130972315
26 ROYLEEN STREET ,"Casebrook, Christchurch",8051,3,1,2,678.0,110,1965,600.0,2023-09-27,7,False,570000.0,110,2023Q3,5.454545454545454,5.2694566060668855
6 CAMDEN STREET ,"Northcote, Christchurch",8052,3,1,1,627.0,100,1950,600.0,2024-03-09,7,False,435000.0,100,2024Q1,6.0,5.372549435000401
5 FENCHURCH STREET ,"Northcote, Christchurch",8052,3,1,2,607.0,110,1960,600.0,2024-03-12,7,False,600000.0,110,2024Q1,5.454545454545454,5.302312210229509
21 HONEYSUCKLE PLACE ,"Northcote, Christchurch",8052,3,1,2,642.0,91,1990,600.0,2023-11-15,23,False,570000.0,91,2023Q4,6.593406593406593,6.191923104299871
145 LANGDONS ROAD ,"Northcote, Christchurch",8052,3,1,1,495.0,107,1955,600.0,2023-06-23,2,False,530000.0,107,2023Q2,5.607476635514018,5.288388917567751
63 NORTHCOTE ROAD ,"Northcote, Christchurch",8052,3,1,4,642.0,140,1940,600.0,2024-05-29,7,False,780000.0,140,2024Q2,4.285714285714286,4.166731730007289
29A DUNBARTON STREET ,"Redwood, Christchurch",8051,3,1,2,832.0,120,1980,600.0,2024-04-08,11,False,670000.0,120,2024Q2,5.0,4.922478368009102
215 MAIN NORTH ROAD ,"Redwood, Christchurch",8051,3,1,2,588.0,112,1940,600.0,2023-09-20,7,False,590000.0,112,2023Q3,5.357142857142857,5.243267566408509
54 MOMORANGI CRESCENT ,"Redwood, Christchurch",8051,3,1,1,541.0,150,1980,600.0,2024-03-06,7,False,610000.0,150,2024Q1,4.0,3.8058514290770162
59 SARABANDE AVENUE ,"Redwood, Christchurch",8051,3,1,2,620.0,112,1970,600.0,2024-02-01,7,False,630000.0,112,2024Q1,5.357142857142857,5.249299654944419
28 BARNES ROAD ,"Redwood, Christchurch",8051,3,1,2,642.0,110,1960,595.0,2024-04-22,14,False,590000.0,110,2024Q2,5.409090909090909,5.2529495435959745
54B DUNBARTON STREET ,"Redwood, Christchurch",8051,3,1,2,769.0,110,1985,595.0,2024-03-20,7,False,670000.0,110,2024Q1,5.409090909090909,5.379802508482474
2/177A GRIMSEYS ROAD ,"Redwood, Christchurch",8051,3,1,1,642.0,110,1970,595.0,2024-07-18,7,False,520000.0,110,2024Q3,5.409090909090909,5.175510731551768
73 WINGATE STREET ,"Redwood, Christchurch",8051,3,1,2,655.0,103,1960,595.0,2023-04-05,7,False,600000.0,103,2023Q2,5.776699029126213,5.5648981033762865
66 BAINTON STREET ,"Bishopdale, Christchurch",8053,3,1,1,607.0,150,1970,590.0,2024-01-12,7,False,670000.0,150,2024Q1,3.933333333333333,3.850965601910975
398 HAREWOOD ROAD ,"Bishopdale, Christchurch",8053,3,1,3,809.0,110,1950,590.0,2023-05-11,7,False,650000.0,110,2023Q2,5.363636363636363,5.313816120163839
9 REYNOLDS AVENUE ,"Bishopdale, Christchurch",8053,3,1,2,627.0,124,1960,590.0,2024-02-20,7,False,670000.0,124,2024Q1,4.758064516129032,4.744165209137321
50 KIMBERLEY STREET ,"Casebrook, Christchurch",8051,3,1,2,622.0,150,1970,590.0,2024-02-15,7,False,690000.0,150,2024Q1,3.933333333333333,3.9167009363861567
19 DUNEDIN STREET ,"Redwood, Christchurch",8051,3,1,1,817.0,130,1950,590.0,2024-02-18,7,False,580000.0,130,2024Q1,4.538461538461538,4.459240740947234
16 SARABANDE AVENUE ,"Redwood, Christchurch",8051,3,1,2,610.0,105,1970,590.0,2023-10-26,2,False,610000.0,105,2023Q4,5.619047619047619,5.41278364460419
1/32 GREENOCK STREET ,"Redwood, Christchurch",8051,3,1,1,642.0,110,1985,585.0,2024-09-03,24,True,520000.0,110,2024Q3,5.318181818181818,5.175510731551768
438 GREERS ROAD ,"Bishopdale, Christchurch",8053,3,1,1,642.0,120,1950,580.0,2024-09-07,13,True,590000.0,120,2024Q3,4.833333333333333,4.682589917843266
11 IAN PLACE ,"Bishopdale, Christchurch",8053,3,1,1,535.0,108,1970,580.0,2023-12-12,7,False,730000.0,108,2023Q4,5.37037037037037,5.4498284684302085
15 OLDWOOD STREET ,"Bishopdale, Christchurch",8053,3,1,2,637.0,102,1960,580.0,2023-05-17,15,False,690000.0,102,2023Q2,5.686274509803922,5.607057385983314
225 SAWYERS ARMS ROAD ,"Bishopdale, Christchurch",8053,3,1,2,572.0,104,1970,580.0,2023-10-24,7,False,600000.0,104,2023Q4,5.576923076923077,5.453308672006678
319 SAWYERS ARMS ROAD ,"Bishopdale, Christchurch",8053,3,1,2,607.0,120,1970,580.0,2024-01-16,7,False,630000.0,120,2024Q1,4.833333333333333,4.8112491874907946
1/47 JOCELYN STREET ,"Casebrook, Christchurch",8051,3,1,2,809.0,110,1950,580.0,2024-09-13,95,True,600000.0,110,2024Q3,5.2727272727272725,5.361268575469058
12 HOANI STREET ,"Papanui, Christchurch",8053,3,1,1,511.0,102,1940,580.0,2023-09-18,19,False,550000.0,102,2023Q3,5.686274509803922,5.4671545511838495
14 HOANI STREET ,"Papanui, Christchurch",8053,3,1,1,516.0,90,1920,580.0,2024-06-14,7,False,540000.0,90,2024Q2,6.444444444444445,6.179552143298917
39 CAMDEN STREET ,"Redwood, Christchurch",8051,3,1,2,646.0,102,1975,580.0,2023-11-10,7,False,610000.0,102,2023Q4,5.686274509803922,5.568529893125437
54 NORRIE STREET ,"Redwood, Christchurch",8051,3,1,2,668.0,122,1960,580.0,2023-04-19,7,False,630000.0,122,2023Q2,4.754098360655738,4.7786050867049
17 TUCKERS ROAD ,"Redwood, Christchurch",8051,3,1,2,726.0,100,1965,580.0,2023-10-10,7,False,630000.0,100,2023Q4,5.8,5.647952359940483
11 VALERIE PLACE ,"Redwood, Christchurch",8051,3,1,2,607.0,120,1970,580.0,2024-07-30,7,False,590000.0,120,2024Q3,4.833333333333333,4.7570980790753055
39 VAGUES ROAD ,"Northcote, Christchurch",8052,3,1,2,728.0,150,1950,575.0,2024-09-10,10,True,870000.0,150,2024Q3,3.8333333333333335,3.9307773478972905
22A DUNEDIN STREET ,"Redwood, Christchurch",8051,3,1,2,642.0,150,1990,575.0,2023-04-29,7,False,670000.0,150,2023Q2,3.8333333333333335,3.8170797313761717
468 GREERS ROAD ,"Bishopdale, Christchurch",8053,3,1,2,792.0,130,1960,570.0,2024-07-12,7,False,650000.0,130,2024Q3,4.384615384615385,4.50731837292329
28 BROCKHAM STREET ,"Casebrook, Christchurch",8051,3,1,1,488.0,107,1960,570.0,2023-12-03,7,False,600000.0,107,2023Q4,5.327102803738318,5.36921390332304
47 SAWYERS ARMS ROAD ,"Northcote, Christchurch",8052,3,1,2,642.0,110,1940,570.0,2024-04-09,7,False,520000.0,110,2024Q2,5.181818181818182,5.169819690091355
3 FREEBAIRN STREET ,"Redwood, Christchurch",8051,3,1,2,607.0,122,1960,570.0,2023-12-10,15,False,630000.0,122,2023Q4,4.672131147540983,4.7741407688512965
2/5 HIBISCUS PLACE ,"Redwood, Christchurch",8051,3,1,2,642.0,150,1990,570.0,2024-08-21,30,False,580000.0,150,2024Q3,3.8,3.747839565930665
1/203 MAIN NORTH ROAD ,"Redwood, Christchurch",8051,3,1,1,642.0,130,1970,570.0,2023-10-23,31,False,510000.0,130,2023Q4,4.384615384615385,4.29087175526567
5 PRESTONS ROAD ,"Redwood, Christchurch",8051,3,1,1,812.0,133,1960,570.0,2024-05-09,7,False,640000.0,133,2024Q2,4.285714285714286,4.414742362611435
72 SARABANDE AVENUE ,"Redwood, Christchurch",8051,3,1,2,529.0,153,1980,570.0,2023-04-14,7,False,670000.0,153,2023Q2,3.7254901960784315,3.8022068488998784
1/23A SAUNDERS PLACE ,"Redwood, Christchurch",8051,3,1,1,642.0,120,1970,570.0,2024-09-04,16,True,550000.0,120,2024Q3,4.75,4.659765705034111
494 GREERS ROAD ,"Bishopdale, Christchurch",8053,3,1,1,827.0,114,1960,565.0,2024-04-30,7,False,650000.0,114,2024Q2,4.956140350877193,5.215130482521079
496 GREERS ROAD ,"Bishopdale, Christchurch",8053,3,1,1,812.0,131,1955,565.0,2024-07-26,3,False,670000.0,131,2024Q3,4.312977099236641,4.453634055060345
64 WINGATE STREET ,"Redwood, Christchurch",8051,3,1,1,655.0,110,1960,565.0,2023-11-16,18,False,590000.0,110,2023Q4,5.136363636363637,5.245022285343598
72D TUCKERS ROAD ,"Casebrook, Christchurch",8051,3,1,2,642.0,170,1990,560.0,2024-05-31,37,False,700000.0,170,2024Q2,3.2941176470588234,3.179736528297461
7 CAMDEN STREET ,"Northcote, Christchurch",8052,3,1,2,736.0,102,1950,560.0,2024-09-17,3,True,560000.0,102,2024Q3,5.490196078431373,5.542673926772622
2/65 NORTHCOTE ROAD ,"Northcote, Christchurch",8052,3,1,1,642.0,100,1990,560.0,2023-09-14,7,False,530000.0,100,2023Q3,5.6,5.431530203215736
2 NYOLI STREET ,"Northcote, Christchurch",8052,3,1,1,736.0,124,1950,560.0,2023-05-05,7,False,600000.0,124,2023Q2,4.516129032258065,4.654398260051053
544 CRANFORD STREET ,"Papanui, Christchurch",8052,3,1,2,825.0,125,1940,560.0,2024-03-25,7,False,610000.0,125,2024Q1,4.48,4.703917878474062
16 DUNEDIN STREET ,"Redwood, Christchurch",8051,3,1,1,414.0,120,1950,560.0,2024-08-19,7,False,610000.0,120,2024Q3,4.666666666666667,4.715987999073118
3 GROSVENOR STREET ,"Redwood, Christchurch",8051,3,1,1,696.0,103,1950,560.0,2023-10-10,7,False,550000.0,103,2023Q4,5.436893203883495,5.478713612580499
47B SOLOMON AVENUE ,"Redwood, Christchurch",8051,3,1,1,642.0,110,1980,560.0,2023-07-27,7,False,520000.0,110,2023Q3,5.090909090909091,5.175510731551768
51 BAINTON STREET ,"Bishopdale, Christchurch",8053,3,1,2,642.0,120,1980,550.0,2023-11-16,20,False,530000.0,120,2023Q4,4.583333333333333,4.637323257852039
16 CARDOME STREET ,"Bishopdale, Christchurch",8053,3,1,2,617.0,110,1960,550.0,2023-04-04,7,False,690000.0,110,2023Q2,5.0,5.340248529455209
80 GARDINERS ROAD ,"Bishopdale, Christchurch",8051,3,1,2,637.0,110,1960,550.0,2023-09-01,7,False,640000.0,110,2023Q3,5.0,5.3045960586817635
6/346 HAREWOOD ROAD ,"Bishopdale, Christchurch",8053,3,1,1,642.0,110,1970,550.0,2024-03-11,7,False,590000.0,110,2024Q1,5.0,5.239426626025342
1/162 HIGHSTED ROAD ,"Casebrook, Christchurch",8051,3,1,1,642.0,100,1980,550.0,2023-08-29,18,False,500000.0,100,2023Q3,5.5,5.417861780704694
2/33 NORTHFIELD ROAD ,"Casebrook, Christchurch",8051,3,1,2,642.0,120,1970,550.0,2023-06-16,7,False,510000.0,120,2023Q2,4.583333333333333,4.608730532697006
24 LA PEROUSE PLACE ,"Northcote, Christchurch",8052,3,1,1,688.0,130,1970,550.0,2023-04-29,7,False,620000.0,130,2023Q2,4.230769230769231,4.43958875984309
157 LANGDONS ROAD ,"Northcote, Christchurch",8052,3,1,1,693.0,105,1950,550.0,2023-11-29,7,False,620000.0,105,2023Q4,5.238095238095238,5.415574349593619
182 LANGDONS ROAD ,"Northcote, Christchurch",8052,3,1,2,723.0,100,1950,550.0,2024-03-08,7,False,520000.0,100,2024Q1,5.5,5.416199797446019
11 PHOENIX LANE ,"Northcote, Christchurch",8052,3,1,2,611.0,170,1990,550.0,2023-07-17,7,False,630000.0,170,2023Q3,3.235294117647059,3.1217326479404157
56B SAWYERS ARMS ROAD ,"Northcote, Christchurch",8052,3,1,1,209.0,106,2019,550.0,2023-08-26,7,False,700000.0,106,2023Q3,5.188679245283019,5.377795112691963
16 HOANI STREET ,"Papanui, Christchurch",8053,3,1,1,526.0,102,1930,550.0,2023-08-22,7,False,590000.0,102,2023Q3,5.392156862745098,5.496445070216211
1/107 MAIN NORTH ROAD ,"Papanui, Christchurch",8052,3,1,2,642.0,140,1980,550.0,2024-02-12,7,False,530000.0,140,2024Q1,3.9285714285714284,4.014243857814044
31 DANIELS ROAD ,"Redwood, Christchurch",8051,3,1,2,642.0,130,1950,550.0,2023-09-06,7,False,600000.0,130,2023Q3,4.230769230769231,4.4325636976752705
39 DUNBARTON STREET ,"Redwood, Christchurch",8051,3,1,2,600.0,120,1970,550.0,2024-08-31,24,True,620000.0,120,2024Q3,4.583333333333333,4.7825727015530575
85 FARQUHARS ROAD ,"Redwood, Christchurch",8051,3,1,2,612.0,100,1970,550.0,2023-11-05,12,False,580000.0,100,2023Q4,5.5,5.477179841992399
81 LOWRY AVENUE ,"Redwood, Christchurch",8051,3,1,2,650.0,100,1970,550.0,2023-06-30,7,False,650000.0,100,2023Q2,5.5,5.614484452186428
34B PRESTONS ROAD ,"Redwood, Christchurch",8051,3,1,2,814.0,144,1980,550.0,2024-06-05,7,False,800000.0,144,2024Q2,3.8194444444444446,4.09470719132565
2/40 SARABANDE AVENUE ,"Redwood, Christchurch",8051,3,1,1,642.0,110,1980,550.0,2023-12-14,25,False,485000.0,110,2023Q4,5.0,5.117338552933919
22 LAMBETH CRESCENT ,"Northcote, Christchurch",8052,3,1,2,878.0,105,1950,540.0,2023-05-28,7,False,540000.0,105,2023Q2,5.142857142857143,5.427962962463091
135A LANGDONS ROAD ,"Northcote, Christchurch",8052,3,1,1,642.0,100,1950,540.0,2024-02-02,7,False,560000.0,100,2024Q1,5.4,5.508661930248856
7 NYOLI STREET ,"Northcote, Christchurch",8052,3,1,1,627.0,110,1955,540.0,2023-05-09,7,False,570000.0,110,2023Q2,4.909090909090909,5.234289699546572
33 DENNISTON CRESCENT ,"Redwood, Christchurch",8051,3,1,4,669.0,110,1970,540.0,2024-06-27,7,False,620000.0,110,2024Q2,4.909090909090909,5.235286074194249
30 EALING STREET ,"Redwood, Christchurch",8051,3,1,2,668.0,105,1950,535.0,2023-09-16,7,False,490000.0,105,2023Q3,5.095238095238095,5.171509894955083
14A HEAPHY PLACE ,"Casebrook, Christchurch",8051,3,1,1,642.0,100,1970,530.0,2023-09-23,7,False,510000.0,100,2023Q3,5.3,5.453290790306944
31A LARCH PLACE ,"Casebrook, Christchurch",8051,3,1,1,642.0,110,1980,530.0,2023-09-08,7,False,540000.0,110,2023Q3,4.818181818181818,5.234635057577201
19A NORTHCOTE ROAD ,"Northcote, Christchurch",8052,3,1,3,642.0,100,1990,530.0,2023-10-12,7,False,520000.0,100,2023Q4,5.3,5.3822609452355366
10 CUNLIFFE ROAD ,"Redwood, Christchurch",8051,3,1,2,511.0,100,1985,530.0,2023-05-09,7,False,590000.0,100,2023Q2,5.3,5.463319508274527
33 FARQUHARS ROAD ,"Redwood, Christchurch",8051,3,1,2,612.0,100,1970,530.0,2024-08-06,7,False,720000.0,100,2024Q3,5.3,5.647559677158977
2/49 CHIPPING LANE ,"Redwood, Christchurch",8051,3,1,1,642.0,120,1970,525.0,2024-08-27,24,True,490000.0,120,2024Q3,4.375,4.429493079120448
2/29 DUNEDIN STREET ,"Redwood, Christchurch",8051,3,1,2,642.0,114,1990,525.0,2024-09-14,6,True,600000.0,114,2024Q3,4.605263157894737,5.1294449684515335
1/3 JAMES CONDON PLACE ,"Redwood, Christchurch",8051,3,1,1,642.0,100,1975,525.0,2023-12-11,19,False,510000.0,100,2023Q4,5.25,5.418396474662661
35 TIVOLI PLACE ,"Bishopdale, Christchurch",8053,3,1,2,537.0,170,1980,520.0,2023-05-15,7,False,690000.0,170,2023Q2,3.0588235294117645,3.103642945736617
17 CLARIDGES ROAD ,"Casebrook, Christchurch",8051,3,1,2,809.0,120,1955,520.0,2023-06-21,8,False,630000.0,120,2023Q2,4.333333333333333,4.872605842044525
97A VAGUES ROAD ,"Northcote, Christchurch",8052,3,1,2,642.0,150,1990,520.0,2023-09-01,7,False,630000.0,150,2023Q3,3.466666666666667,3.699261672515142
120 NORTHCOTE ROAD ,"Northcote, Christchurch",8052,3,1,2,587.0,107,1970,510.0,2023-08-09,7,False,520000.0,107,2023Q3,4.766355140186916,5.235170767496065
42 BAINTON STREET ,"Bishopdale, Christchurch",8053,3,1,4,712.0,170,2000,495.0,2023-10-18,7,False,710000.0,170,2023Q4,2.911764705882353,2.9735439448203103
18 CHEDWORTH AVENUE ,"Bishopdale, Christchurch",8053,3,1,2,632.0,100,1960,490.0,2024-09-17,6,True,590000.0,100,2024Q3,4.9,5.481868219271977
1/242A SAWYERS ARMS ROAD ,"Bishopdale, Christchurch",8053,3,1,1,642.0,120,1970,430.0,2023-07-03,36,False,510000.0,120,2023Q3,3.5833333333333335,4.34547338746809
46 LAMBETH CRESCENT ,"Redwood, Christchurch",8051,3,1,2,731.0,104,1950,430.0,2023-09-01,7,False,490000.0,104,2023Q3,4.134615384615385,5.022183693007079
8 SAWYERS ARMS ROAD ,"Northcote, Christchurch",8052,3,1,1,344.0,100,1940,390.0,2024-06-21,7,False,540000.0,100,2024Q2,3.9,5.140231707222227
62 FARQUHARS ROAD ,"Redwood, Christchurch",8051,3,1,1,645.0,116,1970,350.0,2024-02-24,7,False,660000.0,116,2024Q1,3.0172413793103448,4.41595459642361
