Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (m²),Floor Size (m²),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value,Living Space (m²),Quarterly Period,Actual Price per m²,Expected Price per m²
2 GROSVENOR STREET ,"Redwood, Christchurch",8051,3,1,2,779.0,103,1950,680.0,2023-04-29,7,False,550000.0,103,2023Q2,6.601941747572815,5.691764409911755
152 VAGUES ROAD ,"Northcote, Christchurch",8052,3,1,1,713.0,95,1940,660.0,2024-05-13,8,False,665000.0,95,2024Q2,6.947368421052632,6.372766329427716
2/3B IAN PLACE ,"Bishopdale, Christchurch",8053,3,1,1,642.0,110,1980,650.0,2024-08-30,58,True,495000.0,110,2024Q3,5.909090909090909,5.173109963020302
285 SAWYERS ARMS ROAD ,"Bishopdale, Christchurch",8053,3,1,2,642.0,104,1960,650.0,2024-04-21,7,False,630000.0,104,2024Q2,6.25,5.600679751994342
16 WYCHWOOD CRESCENT ,"Bishopdale, Christchurch",8053,3,1,2,645.0,152,1965,650.0,2024-08-17,7,False,740000.0,152,2024Q3,4.276315789473684,3.93747636619052
7 LARCH PLACE ,"Casebrook, Christchurch",8051,3,1,2,807.0,115,1960,650.0,2024-07-06,7,False,550000.0,115,2024Q3,5.6521739130434785,5.19509320867887
65A VEITCHES ROAD ,"Casebrook, Christchurch",8051,3,1,1,832.0,94,1960,650.0,2024-02-16,19,False,630000.0,94,2024Q1,6.914893617021277,6.43711167748604
56A SAWYERS ARMS ROAD ,"Northcote, Christchurch",8052,3,1,1,226.0,104,2019,650.0,2024-08-23,28,True,700000.0,104,2024Q3,6.25,5.536295072552559
23A FARQUHARS ROAD ,"Redwood, Christchurch",8051,3,1,2,485.0,150,1990,650.0,2024-04-16,7,False,690000.0,150,2024Q2,4.333333333333333,3.9557250978613716
8 LOWRY AVENUE ,"Redwood, Christchurch",8051,3,1,2,590.0,109,1980,650.0,2024-04-21,7,False,680000.0,109,2024Q2,5.963302752293578,5.476083012986599
