Index,Bed,mainTarget,mainZ,zCapVal,zRent,SuspiciousFeats,Land Size (sqm)_val,Land Size (sqm)_z,Floor Size (sqm)_val,Floor Size (sqm)_z,Year Built_val,Year Built_z,Capital Value_val,Capital Value_z,Last Rental Price_val,Last Rental Price_z
610,3.0,Last Rental Price,-2.36075,-2.0984444444444446,-2.36075,Capital Value[z=-2.10];Floor Size (sqm)[z=-1.80];Year Built[z=-1.85],218.0,0.0,90.0,-1.7986666666666666,1945.0,-1.8548749999999998,470000.0,-2.0984444444444446,475.0,-2.36075
611,5.0,Capital Value,2.9019186046511627,2.9019186046511627,-0.22864406779661017,Land Size (sqm)[z=-2.14];Floor Size (sqm)[z=3.28],218.0,-2.137822033898305,540.0,3.2769458333333334,2000.0,0.44966666666666666,1850000.0,2.9019186046511627,475.0,-0.22864406779661017
101,3.0,Capital Value,2.0235,2.0235,0.6745,Land Size (sqm)[z=5.01];Year Built[z=-3.04],660.0,5.010571428571429,141.0,0.49463333333333337,1910.0,-3.03525,1020000.0,2.0235,700.0,0.6745
630,3.0,Last Rental Price,-2.5631,-2.4731666666666667,-2.5631,Capital Value[z=-2.47];Floor Size (sqm)[z=-2.70],218.0,0.0,70.0,-2.698,1975.0,-0.843125,420000.0,-2.4731666666666667,460.0,-2.5631
632,4.0,Last Rental Price,-1.1698704918032787,-0.21078125,-1.1698704918032787,Land Size (sqm)[z=1.30],885.0,1.2971153846153847,142.0,-0.56658,1970.0,0.0,850000.0,-0.21078125,460.0,-1.1698704918032787
125,3.0,Capital Value,2.6230555555555557,2.6230555555555557,0.5396,Land Size (sqm)[z=2.18];Floor Size (sqm)[z=3.19],410.0,2.1765378151260504,201.0,3.192633333333333,1990.0,-0.33725,1100000.0,2.6230555555555557,690.0,0.5396
645,3.0,Last Rental Price,-2.698,-1.4239444444444445,-2.698,Capital Value[z=-1.42];Land Size (sqm)[z=2.31];Floor Size (sqm)[z=-1.80];Year Built[z=-3.20],422.0,2.3125714285714283,90.0,-1.7986666666666666,1905.0,-3.203875,560000.0,-1.4239444444444445,450.0,-2.698
646,2.0,Capital Value,-2.0235,-2.0235,-1.2984125,Last Rental Price[z=-1.30];Floor Size (sqm)[z=-1.17];Year Built[z=-1.93],218.0,0.0,60.0,-1.1730434782608696,1970.0,-1.9271428571428573,360000.0,-2.0235,450.0,-1.2984125
144,2.0,Last Rental Price,2.49565,1.180375,2.49565,Capital Value[z=1.18];Land Size (sqm)[z=279243000000.00];Floor Size (sqm)[z=2.35];Year Built[z=-2.89],632.0,279243000000.0,120.0,2.3460869565217393,1950.0,-2.8907142857142856,740000.0,1.180375,675.0,2.49565
657,2.0,Capital Value,-2.1078125,-2.1078125,-1.2984125,Last Rental Price[z=-1.30];Floor Size (sqm)[z=-2.35];Year Built[z=-1.69],218.0,0.0,40.0,-2.3460869565217393,1975.0,-1.6862499999999998,350000.0,-2.1078125,450.0,-1.2984125
